TMB,H2O2,latent_mean,latent_std,default_observation_std
0.004999999999999999,0.004999999999999999,-336.99604919500706,317.1964307627254,321.5170002593961
0.004999999999999999,0.005708154957083469,-354.1106394684006,311.19110477031626,315.5938995851441
0.004999999999999999,0.006516606602815316,-369.5386805937162,304.0746342861461,308.5789833793636
0.004999999999999999,0.007439560056644623,-379.33427294136783,297.25949366777496,301.8655534220657
0.004999999999999999,0.008493232323171236,-378.3593021942072,293.3006873403873,297.9679495541957
0.004999999999999999,0.009696137237434288,-363.33731888764123,294.0121189205776,298.6682638636987
0.004999999999999999,0.011069410767284429,-336.03039532371776,298.1867721721099,302.7787259131821
0.004999999999999999,0.012637182388653549,-301.8010258617125,302.82014429645784,307.3428794667539
0.004999999999999999,0.014426999059072134,-265.91422256117886,305.64482432808984,310.12636844637547
0.004999999999999999,0.01647030923897623,-231.91312169158624,305.58315443906343,310.0655899065818
0.004999999999999999,0.018803015465431967,-201.649238938431,301.93221057459965,306.46804980234475
0.004999999999999999,0.021466105187424523,-175.57550493205542,293.4768762731756,298.1413803453806
0.004999999999999999,0.02450637094697449,-153.06277581361468,277.80072918801784,282.72398360341225
0.004999999999999999,0.027977232560219754,-133.16178828484053,251.12256066950076,256.5582706606731
0.004999999999999999,0.03193967574481908,-117.44982743246598,213.82900141344177,220.1873012066267
0.004999999999999999,0.03646332368608554,-118.64192816292179,206.91535469414907,213.4796706372614
0.004999999999999999,0.041627660370093654,-138.9870177020037,243.09955411658217,248.71067323070224
0.004999999999999999,0.047523427178667435,-161.18198373646385,272.22943571877516,277.25163919975444
0.004999999999999999,0.05425421728550116,-179.49694376830428,289.9419102692744,294.66237815130734
0.004999999999999999,0.06193829586818342,-192.8396348850656,300.5432184191976,305.0997081364674
0.004999999999999999,0.07071067811865475,-201.34745738106028,307.06235218876105,311.52350456888934
0.004999999999999999,0.08072550156434655,-205.74096243111515,310.93816443848453,315.344490789933
0.004999999999999999,0.09215873438351481,-206.9802884697616,312.5459038939962,316.9298783770681
0.004999999999999999,0.10521126730195977,-205.97961958715024,311.6822605215167,316.07821388224573
0.004999999999999999,0.12011244339814311,-203.47654258607287,307.82320590328203,312.2734888839628
0.004999999999999999,0.13712408783810365,-200.12827849020107,300.2697441890133,304.83032172427266
0.004999999999999999,0.15654510834572408,-196.93082121615137,288.591947246387,293.33414015870966
0.004999999999999999,0.17871674724216274,-196.17988914321916,274.2899303318639,279.27508239842456
0.004999999999999999,0.20402857733683694,-202.63620275161185,264.12194029908,269.2953863595492
0.004999999999999999,0.23292534702239076,-221.04910638756897,266.9312206059312,272.0512494023146
0.004999999999999999,0.26591479484724945,-249.38059518955322,279.3808000106765,284.27669123899994
0.004999999999999999,0.3035765708738321,-281.42186505434177,291.85496172614256,296.54497879977026
0.004999999999999999,0.3465724215775732,-312.917257381685,300.1957826590299,304.75746700196794
0.004999999999999999,0.39565781724328924,-341.7670299141085,304.10371685292495,308.60764146558654
0.004999999999999999,0.4516952261612214,-366.67629247815694,304.41992781091005,308.91924222292755
0.004999999999999999,0.5156692688606229,-386.20245684709647,302.4654635974109,306.9934240930656
0.004999999999999999,0.5887040186524746,-398.32780137023144,300.19493837780925,304.75663535819
0.004999999999999999,0.6720827524652164,-401.06303107296696,299.87893716210186,304.4453690248218
0.004999999999999999,0.7672704990109255,-394.12869029607896,302.69472096863115,307.2193025665307
0.004999999999999999,0.8759397804706243,-379.8058451380251,307.83292953695667,312.2830739481297
0.004999999999999999,1.0,-361.59619067010055,313.58858107956377,317.9581795624736
0.005708154957083469,0.004999999999999999,-353.5920477353475,312.8222426094441,317.2023979076924
0.005708154957083469,0.005708154957083469,-376.5435939600229,303.94355069905384,308.4498140358272
0.005708154957083469,0.006516606602815316,-399.55680815003234,292.21951958802714,296.9037780080366
0.005708154957083469,0.007439560056644623,-417.39247244026956,279.40743003509243,284.3028626764127
0.005708154957083469,0.008493232323171236,-420.435990922153,271.3019303058214,276.3409907249607
0.005708154957083469,0.009696137237434288,-400.6615250794174,273.7677237189295,278.7622146515417
0.005708154957083469,0.011069410767284429,-362.11726137184166,283.3697818937571,288.19791647009447
0.005708154957083469,0.012637182388653549,-315.72537249992826,292.6322153682516,297.3099716432647
0.005708154957083469,0.014426999059072134,-269.5364523345835,298.042968917507,302.63710461268647
0.005708154957083469,0.01647030923897623,-227.8374119259743,299.0854772990414,303.6638412758152
0.005708154957083469,0.018803015465431967,-192.64351548475832,295.7921802395312,300.42073772967706
0.005708154957083469,0.021466105187424523,-164.2132021307309,287.1993910497857,291.96420326224205
0.005708154957083469,0.02450637094697449,-141.09982008071353,270.095463905237,275.1566197447796
0.005708154957083469,0.027977232560219754,-120.54300132403507,236.9058699138152,242.66025007571722
0.005708154957083469,0.03193967574481908,-99.19379374093472,166.2730957686307,174.3741613418465
0.005708154957083469,0.03646332368608554,-99.71052863585197,138.60670242868304,148.22760783788414
0.005708154957083469,0.041627660370093654,-134.6452367130683,224.82897161856746,230.88454310813162
0.005708154957083469,0.047523427178667435,-163.0464270204749,262.4093644396109,267.6159193934258
0.005708154957083469,0.05425421728550116,-184.61746493480686,281.74620280118734,286.60168973695164
0.005708154957083469,0.06193829586818342,-199.3133986422124,292.8451454228063,297.51955392023
0.005708154957083469,0.07071067811865475,-207.70136836820797,300.13760217763394,304.7001575452952
0.005708154957083469,0.08072550156434655,-211.03781875328661,305.0726860853984,309.56251317391144
0.005708154957083469,0.09215873438351481,-210.8388297798235,307.58621930058365,312.0398821798502
0.005708154957083469,0.10521126730195977,-208.36707673191066,307.05902545639196,311.520225477283
