model,mll,train_rmse,train_r2,train_z_std,train_frac_abs_z_gt_2,train_frac_abs_z_gt_3,loo_rmse_model_space,loo_z_std,loo_frac_abs_z_gt_2,loo_frac_abs_z_gt_3,noise_standardized,eig_max,condition_number,acq_value_mean,acq_value_std,acq_per_point_std_mean,acq_spearman_mean,acq_top25_jaccard_mean
old_mixed_hamming,-0.5958555025189316,2907.6847878332055,0.9877199164426148,0.6157826969465178,0.013452914798206279,0.0,0.33141732633349624,1.035893462966109,0.06053811659192825,0.006726457399103139,0.024644567934064224,853.0817834811744,34615.408383852875,-47.14335050964538,31.888791250052194,2.8376979221676213,0.9995597494735697,0.9692307692307693
new_additive_set,-0.2315981953277277,1997.8113947583247,0.9942028352222243,0.5040254608056021,0.004484304932735426,0.0,0.2704256917056575,0.9813973475987954,0.053811659192825115,0.008968609865470852,0.016036774479258838,150.77153671476154,9401.612332315699,-61.88877233876421,16.766387171047835,3.566037092382129,0.9884312575817397,0.8154744361640913
hierarchical_family_prior,-0.07212937386510361,5724.2454103015725,0.9524069911050292,0.9538628945766199,0.042600896860986545,0.008968609865470852,0.23214399272695527,1.013266026195525,0.04484304932735426,0.013452914798206279,0.04935619918392535,279.31650564849855,5659.198039290629,-59.990048355526866,20.04404123246165,3.3282418978752166,0.9914309174763393,0.8712012125805229
famt,-0.5459744853652996,6791.25935935763,0.9330104120772816,0.9478692948036831,0.0515695067264574,0.011210762331838564,0.28689279508121845,1.0145139698613983,0.053811659192825115,0.02242152466367713,0.07052704017235131,427.8141422347169,6065.959115670421,-65.61169067945147,8.987483712243094,1.0680163796933,0.9988983767924378,0.7971882284382286
