model,fit_seconds,mll,train_rmse,train_mae,train_r2,train_z_mean,train_z_std,train_frac_abs_z_gt_2,train_frac_abs_z_gt_3,target_std,kernel_diag_min,kernel_diag_max,noise_standardized,eig_min,eig_max,condition_number,loo_rmse_model_space,loo_mae_model_space,loo_z_mean,loo_z_std,loo_frac_abs_z_gt_2,loo_frac_abs_z_gt_3,loo_cholesky_jitter,old_cont_ls_min,old_cont_ls_median,old_cont_ls_max,old_cat_ls_min,old_cat_ls_median,old_cat_ls_max,old_outputscale_min,old_outputscale_median,old_outputscale_max,acq_pool_size,acq_mc_samples,acq_repeats,acq_value_mean,acq_value_std,acq_per_point_std_mean,acq_spearman_mean,acq_spearman_min,acq_top25_jaccard_mean,acq_top25_jaccard_min,acq_finite_fraction,new_scale_ess,new_scale_set,new_scale_main,new_scale_pair,new_scale_residual,new_ess_lengthscale,new_conc_lengthscale,mod_scale_const,mod_scale_id,mod_scale_family,mod_scale_mw,mod_scale_same_conc,mod_ess_lengthscale,mod_same_conc_lengthscale,mod_mw_lengthscale,mod_mean_ess_weight_norm,mod_mean_single_family_norm,mod_mean_single_id_norm,mod_mean_pair_family_norm,mod_mean_pair_id_norm,mod_mean_pair_env
old_mixed_hamming,5.045313596725464,-0.5958555025189316,2907.6847878332055,2126.964897064513,0.9877199164426148,0.00021939737727642172,0.6157826969465178,0.013452914798206279,0.0,26268.428212169514,2.8783400823058845,2.8783400823058845,0.024644567934064224,0.024644567934062375,853.0817834811744,34615.408383852875,0.33141732633349624,0.23079945188654571,0.01919324360956751,1.035893462966109,0.06053811659192825,0.006726457399103139,0.0,0.09723685365581557,1.266577449154781,2.85910083669606,0.33046767384905884,0.7090342196926456,1.1509291718678027,0.4919553357363713,0.8272513723046159,1.30599696502605,512,64,5,-47.14335050964538,31.888791250052194,2.8376979221676213,0.9995597494735697,0.9990945721896063,0.9692307692307693,0.9230769230769231,1.0,,,,,,,,,,,,,,,,,,,,,
new_additive_set,5.490442991256714,-0.2315981953277277,1997.8113947583247,1378.640271288584,0.9942028352222243,-0.001365221804103339,0.5040254608056021,0.004484304932735426,0.0,26268.428212169514,0.5532170056525578,0.8218779319637696,0.016036774479258838,0.01603677447925841,150.77153671476154,9401.612332315699,0.2704256917056575,0.19680949958635707,0.013729941119122676,0.9813973475987954,0.053811659192825115,0.008968609865470852,0.0,,,,,,,,,,512,64,5,-61.88877233876421,16.766387171047835,3.566037092382129,0.9884312575817397,0.9675039303452697,0.8154744361640913,0.6666666666666666,1.0,0.325561840415909,0.20737572426318607,0.12459936008535456,0.019462206140502643,0.02027944097346275,"[1.6892750349037857, 0.7999894453253181]",0.21452867490848399,,,,,,,,,,,,,,
hierarchical_family_prior,,-0.07212937386510361,5724.2454103015725,4251.260079397327,0.9524069911050292,-0.0005440971495033123,0.9538628945766199,0.042600896860986545,0.008968609865470852,26268.428212169514,1.1121552196393365,1.1229777973500659,0.04935619918392535,0.049356199183923664,279.31650564849855,5659.198039290629,0.23214399272695527,0.17295327191731993,-0.0011336143153784747,1.013266026195525,0.04484304932735426,0.013452914798206279,0.0,,,,,,,,,,512,64,5,-59.990048355526866,20.04404123246165,3.3282418978752166,0.9914309174763393,0.9762713898044197,0.8712012125805229,0.7241379310344828,1.0,,,,,,,,0.11215521963933643,0.19883520914806208,0.1297741432848753,0.18023144123465332,0.010822577710729083,"[1.0130581100295768, 0.8898915121090908]",0.9402380865052086,1.7251101269514357,1.4070569490098312,1.654266796489889,3.0176053965076304,1.8815615145384075,1.7807066314051496,"[0.15778196776540573, 0.12492811178274192, 0.05271104277548446]"
