"additive","main_beta","main_score_pos","main_rank","inter_topk_avg","inter_rank","pos_interactions","neg_interactions","zero_interactions","borda_score","selected6"
"paa",0.861355001668102,0.861355001668102,4,0.0953085180270937,1,4,7,10,5,TRUE
"fe2",1.35736810130223,1.35736810130223,1,0.00515328226407125,9,1,7,13,10,TRUE
"peg200k",0.886218926364575,0.886218926364575,3,0.0123129646342829,8,1,6,14,11,TRUE
"bsa",0.795447846620804,0.795447846620804,5,0.000626433272734061,11,1,9,11,16,TRUE
"etoh",0.640281042646064,0.640281042646064,9,0,13,0,10,11,22,TRUE
"peg20k",0.529962637605307,0.529962637605307,13,0.000626433272734061,11,1,6,14,24,TRUE
