HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.0001,fixed_sem_shrunk,0.48800756,0.214735717,140.0668988,211.4956696,214.3436068
0.0001,fixed_sem_shrunk,0.5558812,0.007673049,96.42374242,214.1616603,216.9746074
0.0001,fixed_sem_shrunk,0.308906844,0.48612014,92.88827218,226.6139979,229.2742191
0.0001,fixed_sem_shrunk,0.168192326,0.338621946,76.55426565,220.6240467,223.3556211
0.0001,fixed_sem_shrunk,0.005441475,0.038491837,72.52086323,232.3016571,234.8974743
0.0001,fixed_sem_shrunk,0.011499026,0.017243279,44.91203164,228.7170619,231.3531023
0.0001,fixed_sem_shrunk,0.090839879,0.057101945,41.21456444,235.8032421,238.3609291
0.0001,fixed_sem_shrunk,0.242938055,0.038918488,29.19139535,236.6219244,239.1708566
0.0001,fixed_sem_shrunk,0.281012896,0.036215444,25.76251536,238.5417743,241.070408
0.0001,fixed_sem_shrunk,0.239475397,0.030617558,23.28242095,239.0813941,241.6043802
0.0001,fixed_sem_shrunk,0.596958247,0.008325463,16.87418374,242.8816057,245.365519
0.0001,fixed_sem_shrunk,0.053490178,0.010476858,8.054247112,247.7218203,250.1576778
0.0001,fixed_sem_shrunk,0.195560542,0.101061506,-4.546541928,239.6981094,242.2146716
0.0001,fixed_sem_shrunk,0.005484889,0.614090901,-6.609893269,247.0982501,249.5401946
0.0001,fixed_sem_shrunk,0.005,0.594808985,-10.28968098,250.1847865,252.5968941
0.0001,fixed_sem_shrunk,0.078964535,0.091451303,-17.49140201,250.9306876,253.3356933
0.0001,fixed_sem_shrunk,0.076595491,0.104392898,-37.76658879,258.6213061,260.9554435
0.0001,fixed_sem_shrunk,0.066996633,0.11358371,-45.71489654,260.1468667,262.4674376
0.0001,fixed_sem_shrunk,0.172129277,0.100814304,-50.5485216,255.4510633,257.8139044
0.0001,fixed_sem_shrunk,0.006284855,0.178030663,-58.57314274,257.0945943,259.4424675
0.0001,fixed_sem_shrunk,0.053428095,0.017964576,-66.02049698,264.4647688,266.7477788
0.0001,fixed_sem_shrunk,0.014295572,0.117118862,-68.00462783,262.7577867,265.0554998
0.0001,fixed_sem_shrunk,0.155435175,0.091276236,-78.46901271,263.781417,266.0702905
0.0001,fixed_sem_shrunk,0.015328066,0.092881664,-79.78032852,263.7007028,265.9902709
0.0001,fixed_sem_shrunk,0.020852067,0.017792362,-84.90247955,262.6641537,264.9626788
0.0001,fixed_sem_shrunk,0.170522141,0.107687089,-89.42946738,269.9016933,272.139096
0.0001,fixed_sem_shrunk,0.014205241,0.031399104,-91.01064368,266.1040724,268.3731374
0.0001,fixed_sem_shrunk,0.117964265,0.733721393,-91.41923586,265.7652603,268.0371935
0.0001,fixed_sem_shrunk,0.022890745,0.072738873,-102.8625283,268.2480303,270.4991114
0.0001,fixed_sem_shrunk,0.026258945,0.04928253,-103.5837156,267.373682,269.6320629
0.0001,fixed_sem_shrunk,0.005,0.014103025,-141.2984551,276.4208572,278.6059113
0.0001,fixed_sem_shrunk,0.179734257,0.005371629,-430.2505547,168.3785342,171.9421248
