HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.001,fixed_sem_shrunk,0.39868573,0.036565682,971.7252116,161.8268802,172.3079263
0.001,fixed_sem_shrunk,0.365153016,0.051056335,971.5641201,133.1749852,145.7314619
0.001,fixed_sem_shrunk,0.395154813,0.082739921,966.9199959,157.2917536,168.0558778
0.001,fixed_sem_shrunk,0.374034004,0.099189405,961.1544415,159.7938386,170.39998
0.001,fixed_sem_shrunk,0.383261556,0.021231502,939.6949361,171.5575085,181.4774394
0.001,fixed_sem_shrunk,0.64838184,0.179231127,903.5274434,168.955181,179.0193718
0.001,fixed_sem_shrunk,0.597672001,0.26533004,884.7537021,195.736521,204.4868405
0.001,fixed_sem_shrunk,0.651982583,0.065468426,883.2794943,187.1546839,196.2879467
0.001,fixed_sem_shrunk,0.358433024,0.100582242,870.7064028,206.2108623,214.5343843
0.001,fixed_sem_shrunk,0.39202521,0.156796898,866.6579323,208.3706428,216.6111887
0.001,fixed_sem_shrunk,0.573827375,0.12224646,863.0667983,204.8446877,213.2215477
0.001,fixed_sem_shrunk,0.410416368,0.018915802,832.8109655,240.2350812,247.4166053
0.001,fixed_sem_shrunk,0.424786418,0.052627626,805.2722165,243.3890371,250.4801503
0.001,fixed_sem_shrunk,0.850874258,0.055298279,797.0184653,221.4705281,229.2406533
0.001,fixed_sem_shrunk,0.963300009,0.084217775,787.0060736,228.6187712,236.1538161
0.001,fixed_sem_shrunk,0.618819304,0.534819119,781.626898,243.9558831,251.0309845
0.001,fixed_sem_shrunk,0.838886143,0.01512665,780.0468815,239.8170116,247.0106908
0.001,fixed_sem_shrunk,0.907465409,0.107743025,779.6290905,230.95749,238.4186329
0.001,fixed_sem_shrunk,0.99926205,0.012883882,771.1698188,236.3902357,243.6850957
0.001,fixed_sem_shrunk,0.363776254,0.232502012,770.1629568,251.5890141,258.4552463
0.001,fixed_sem_shrunk,0.927523347,0.006117515,766.9455501,240.1985348,247.3811198
0.001,fixed_sem_shrunk,0.550592168,0.274733083,724.8932413,261.3806941,267.9961745
0.001,fixed_sem_shrunk,0.385495002,0.006660363,714.9467963,263.2189135,269.7893228
0.001,fixed_sem_shrunk,0.537915656,0.111847661,710.5706229,265.1810023,271.7039681
0.001,fixed_sem_shrunk,0.786932634,0.017599447,688.7572601,274.9843314,281.280047
0.001,fixed_sem_shrunk,0.704116164,0.025696362,683.3456276,269.1856964,275.6138992
0.001,fixed_sem_shrunk,0.206890987,0.005,664.9415275,262.3586723,268.9500981
0.001,fixed_sem_shrunk,0.457968978,0.053321938,656.4077714,278.9657286,285.1735613
0.001,fixed_sem_shrunk,0.812863245,0.005130652,649.5750409,285.8783038,291.9391835
0.001,fixed_sem_shrunk,0.427969988,0.005245383,625.5742156,293.72158,299.6238457
0.001,fixed_sem_shrunk,0.509597613,0.042970594,621.2701992,283.7663679,289.8714091
0.001,fixed_sem_shrunk,1,0.371376757,589.1453464,295.2195158,301.0924191
0.01,fixed_sem_shrunk,1,0.030962973,7140.980991,493.5697749,543.3010968
0.01,fixed_sem_shrunk,1,0.033276078,7136.36939,490.3307029,540.3602107
0.01,fixed_sem_shrunk,1,0.028679655,7133.8371,495.7901958,545.3190601
0.01,fixed_sem_shrunk,1,0.03589649,7119.878759,486.0292867,536.4600885
0.01,fixed_sem_shrunk,1,0.026727766,7116.107673,496.4994913,545.9640133
0.01,fixed_sem_shrunk,1,0.038895026,7089.69746,480.8677786,531.7882845
0.01,fixed_sem_shrunk,1,0.024256861,7073.899198,495.1645561,544.7503067
0.01,fixed_sem_shrunk,1,0.023193168,7047.302149,493.6288989,543.3548094
0.01,fixed_sem_shrunk,0.847216936,0.031870647,7046.158701,423.4822232,480.5227907
0.01,fixed_sem_shrunk,0.852719044,0.028076657,7036.333911,433.0803383,489.0025956
0.01,fixed_sem_shrunk,1,0.042867592,7036.047536,474.3423237,525.8950457
0.01,fixed_sem_shrunk,1,0.020519427,6951.346423,486.7522473,537.1151732
0.01,fixed_sem_shrunk,1,0.049472434,6924.425948,465.294597,517.7489943
0.01,fixed_sem_shrunk,0.842955968,0.044480107,6917.963679,395.9977551,456.4856855
0.01,fixed_sem_shrunk,0.756722339,0.039079405,6903.748936,360.8682453,426.3693815
0.01,fixed_sem_shrunk,0.745539003,0.026737647,6900.23367,388.3995721,449.9101984
0.01,fixed_sem_shrunk,0.71696276,0.032679522,6893.148859,358.7573234,424.5842392
0.01,fixed_sem_shrunk,0.810836256,0.022525018,6881.858558,417.2058307,475.0006992
0.01,fixed_sem_shrunk,1,0.018590817,6848.654236,479.0927852,530.1837944
0.01,fixed_sem_shrunk,1,0.055064286,6817.235091,459.507752,512.5547124
0.01,fixed_sem_shrunk,0.740032823,0.044350484,6809.781104,343.5156109,411.7862722
0.01,fixed_sem_shrunk,0.675152955,0.024921154,6751.128551,361.9428694,427.2792995
0.01,fixed_sem_shrunk,0.675388302,0.041786844,6748.09146,313.4995232,387.1006459
0.01,fixed_sem_shrunk,0.627045681,0.032405461,6727.432466,316.7180309,389.7117782
0.01,fixed_sem_shrunk,0.707368759,0.021685458,6704.634615,376.9629301,440.0750046
0.01,fixed_sem_shrunk,1,0.016338712,6679.102274,468.4812204,520.6146492
0.01,fixed_sem_shrunk,0.611792499,0.036401682,6676.028602,295.4107549,372.6022989
0.01,fixed_sem_shrunk,0.754061119,0.053246419,6667.87626,347.7976414,415.3650905
0.01,fixed_sem_shrunk,1,0.06546544,6605.016659,452.5786034,506.3520034
0.01,fixed_sem_shrunk,0.523908364,0.027079106,6408.083511,290.6066955,368.8051119
0.01,fixed_sem_shrunk,0.585556943,0.060029976,6225.520061,297.1081401,373.9494698
0.01,fixed_sem_shrunk,1,0.097548557,5962.300779,461.6189073,514.4482235
0.1,fixed_sem_shrunk,1,0.010115901,9282.748982,495.8182691,604.5708841
0.1,fixed_sem_shrunk,1,0.007394459,9282.096115,521.2995727,625.6384279
0.1,fixed_sem_shrunk,1,0.011592132,9279.905834,485.7458237,596.3381618
0.1,fixed_sem_shrunk,1,0.015050658,9269.075556,468.2135315,582.1461234
0.1,fixed_sem_shrunk,1,0.005,9267.781692,557.2769707,655.9175406
0.1,fixed_sem_shrunk,1,0.018730936,9254.57531,455.3469863,571.8488226
0.1,fixed_sem_shrunk,1,0.0234932,9234.465393,443.7658287,562.6706929
0.1,fixed_sem_shrunk,1,0.028761,9212.303957,434.8857794,555.6940157
0.1,fixed_sem_shrunk,1,0.036205672,9182.560265,426.3935432,549.0734483
0.1,fixed_sem_shrunk,0.941123281,0.007658322,9147.622853,464.7652285,579.3763161
0.1,fixed_sem_shrunk,1,0.047952285,9140.296178,418.2320971,542.7598778
0.1,fixed_sem_shrunk,1,0.064199092,9090.343273,412.180447,538.110508
0.1,fixed_sem_shrunk,0.919459379,0.015480045,9081.199498,390.3652447,521.5891316
0.1,fixed_sem_shrunk,1,0.078793931,9052.13184,409.3544249,535.9489184
0.1,fixed_sem_shrunk,0.899495029,0.005,9004.062172,472.4867622,585.5885402
