HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.01,fixed_sem_shrunk,0.467908328,0.013998165,7459.751676,715.8512335,789.590237
0.01,fixed_sem_shrunk,0.467676273,0.012211945,7067.284011,829.5931276,893.9991673
0.01,fixed_sem_shrunk,0.518606971,0.011153106,7027.925559,817.7081141,882.9814911
0.1,fixed_sem_shrunk,0.815390927,0.062434843,11268.99357,949.7780753,1000.918729
0.1,fixed_sem_shrunk,0.865451764,0.067281667,11268.84677,819.0776376,877.8656425
0.1,fixed_sem_shrunk,0.846829794,0.050583764,11130.50684,675.008982,745.2496466
0.1,fixed_sem_shrunk,0.955507352,0.033658185,11113.31268,446.8624244,547.2165351
0.1,fixed_sem_shrunk,0.780581159,0.053545712,10998.07872,1067.733897,1113.470064
0.1,fixed_sem_shrunk,0.798484298,0.18280883,10901.30551,713.2992759,780.0998442
0.1,fixed_sem_shrunk,0.801548297,0.072213971,10687.69929,1113.524478,1157.452666
0.1,fixed_sem_shrunk,0.750495718,0.065094593,10572.51728,1358.57412,1394.805918
0.1,fixed_sem_shrunk,0.841957714,0.012199214,10376.24526,1135.912811,1179.007135
0.1,fixed_sem_shrunk,0.697122079,0.058094519,10074.03451,1656.798905,1686.636452
0.1,fixed_sem_shrunk,0.673525,0.179368559,9935.113349,1412.999683,1447.870165
0.1,fixed_sem_shrunk,0.843462815,0.290459999,9927.049035,1161.980535,1204.142298
0.1,fixed_sem_shrunk,0.811866086,0.022626485,9771.880497,1175.239274,1216.941766
0.1,fixed_sem_shrunk,0.687902136,0.048890194,9699.908967,1634.24409,1664.486003
0.1,fixed_sem_shrunk,0.769156027,0.011959945,9636.432997,1493.881246,1526.905723
0.1,fixed_sem_shrunk,0.632366452,0.205178437,9275.440187,1610.953135,1641.624169
0.1,fixed_sem_shrunk,1,0.723129443,9103.021331,1632.201424,1662.480495
0.1,fixed_sem_shrunk,0.738188287,0.30475835,8984.002577,1560.767991,1592.405925
0.1,fixed_sem_shrunk,0.837401433,0.701428816,8599.20242,1827.087032,1854.186326
0.1,fixed_sem_shrunk,0.608252716,0.055081158,8575.805479,2133.531637,2156.783985
0.1,fixed_sem_shrunk,0.584987638,0.14526533,8403.270635,1953.395544,1978.765793
0.1,fixed_sem_shrunk,0.552740064,0.167854804,8224.232153,2195.322131,2217.926773
0.1,fixed_sem_shrunk,0.661187059,0.011923722,8165.559965,2052.841258,2076.997145
0.1,fixed_sem_shrunk,0.697574873,0.680912633,7686.906624,2271.066004,2292.924051
0.1,fixed_sem_shrunk,0.579276897,0.01230377,6960.339944,2457.62536,2477.838235
0.1,fixed_sem_shrunk,0.509925129,0.057615229,6817.954935,2490.827089,2510.772689
0.1,fixed_sem_shrunk,0.567669289,0.619828155,6703.583493,2680.227274,2698.773452
0.1,fixed_sem_shrunk,0.543895586,0.731273672,6694.86442,2593.999805,2613.158031
0.1,fixed_sem_shrunk,0.456230006,0.140054009,6223.150688,2620.632456,2639.597389
0.1,fixed_sem_shrunk,0.469668777,0.510949779,6011.215301,2784.555514,2802.41134
0.1,fixed_sem_shrunk,0.472256885,0.015855912,5501.757956,2880.743764,2898.006995
0.1,fixed_sem_shrunk,0.368080339,0.458869177,5302.656324,2886.927015,2904.153491
