HRP,model,n_train,n_conditions,train_y_mean,train_y_sd,lengthscale_TMB_normalized,lengthscale_H2O2_normalized,noise_mode,train_yvar_min,train_yvar_median,train_yvar_max,train_yvar_sd_median,train_yvar_sd_max,candidate_pred_max,candidate_pred_min,candidate_latent_std_mean,candidate_latent_std_max,candidate_default_observation_std_mean,candidate_file,baseline_rows,posterior_grid_file,posterior_train_file,candidate_cov_file
0.001,fixed_sem_shrunk,96,96,1226.3802076723778,745.6564618909943,0.026395263324060825,0.05814676252216323,fixed_sem,4828.4743110127865,6195.303609761371,47555.6393159821,78.71025098271109,218.0725551645188,2842.9941209008175,1090.2254377449785,468.7814367342813,705.7703671499082,479.66617243852863,C:\PyCharm\Blueness\logs\Jun_22_full_log\BO3_candidates_all.csv,96,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.001_fixed_sem_shrunk_posterior_grid.csv,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.001_fixed_sem_shrunk_posterior_train.csv,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.001_fixed_sem_shrunk_candidate_latent_cov.csv
0.01,fixed_sem_shrunk,96,96,5009.22705755605,2480.7736117683694,0.6269987059580503,0.5152613473885312,fixed_sem,70607.14580556881,94042.41164192936,688476.267572059,306.6633522968295,829.7447002374037,7136.546980620486,6375.028982495251,179.67115741168664,394.8588520813182,416.892006341841,C:\PyCharm\Blueness\logs\Jun_22_full_log\BO3_candidates_all.csv,96,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.01_fixed_sem_shrunk_posterior_grid.csv,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.01_fixed_sem_shrunk_posterior_train.csv,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.01_fixed_sem_shrunk_candidate_latent_cov.csv
0.1,fixed_sem_shrunk,96,96,7207.182874960343,3941.338660342137,0.09227026486946288,0.054305052389631646,fixed_sem,44121.57237365735,57465.55905106732,1285125.6938517215,239.71975106583795,1133.6338447010664,12086.996892565421,5344.979221295153,2678.51753553774,3649.5739960941214,2695.852779357679,C:\PyCharm\Blueness\logs\Jun_22_full_log\BO3_candidates_all.csv,96,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.1_fixed_sem_shrunk_posterior_grid.csv,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.1_fixed_sem_shrunk_posterior_train.csv,C:\PyCharm\Blueness\logs\Jun_22_full_log\diag\BO2_HRP_0.1_fixed_sem_shrunk_candidate_latent_cov.csv
