TMB,H2O2,mean,median,sd,count,var,sem_var_raw,sem_var_shrunk,sem_sd_raw,sem_sd_shrunk
0.00500231,0.02897229,251.81148477157396,251.7319796954318,40.75716248608342,4,1661.146293917006,415.2865734792515,13954.12827142536,20.37858124304171,118.12759318391855
0.006288307,0.463269462,153.2360406091373,159.51789340101539,35.153123694522385,4,1235.7421054823913,308.9355263705978,13900.952747871033,17.576561847261193,117.90230170726538
0.008094048,0.006170613,244.7448604060918,248.6899746192898,28.103354596436976,4,789.7985395730753,197.44963489326884,13845.209802132369,14.051677298218488,117.66566959879322
0.008651561,0.211468722,189.52062182741136,183.93756345177704,48.89769320441942,4,2390.984400713525,597.7461001783812,14045.358034774925,24.44884660220971,118.51311334521141
0.010044028,0.112442903,1004.2813451776651,1050.6071065989847,193.65713002047934,4,37503.08400776884,9375.77100194221,18434.37048565684,96.82856501023967,135.7732318450763
0.012458853,0.015984476,3.0967639593910006,-0.639086294416179,20.957526748876173,4,439.2179274298603,109.80448185746508,13801.387225614466,10.478763374438087,117.47930552065102
0.01571372,0.845092713,621.0360406091376,617.0843908629442,60.84427875260702,4,3702.0262569249458,925.5065642312364,14209.238266801352,30.42213937630351,119.20250948197925
0.017105288,0.066863138,846.3781091370564,817.2333756345186,231.98884438109886,4,53818.8239172777,13454.705979319426,20473.837974345446,115.99442219054943,143.08681970868403
0.020795744,0.011653397,245.57684010152326,231.72804568527965,33.84832025147361,4,1145.7087838463185,286.4271959615796,13889.698582666524,16.924160125736805,117.85456538745763
0.024487908,0.281758477,468.91567258883276,457.94213197969566,75.67119790408708,4,5726.130192239513,1431.5325480598783,14462.251258715673,37.83559895204354,120.25910052347669
0.027946511,0.044505039,122.85729695431472,119.76763959390846,27.70775577221485,4,767.7197299327053,191.92993248317632,13842.449950927323,13.853877886107425,117.65394150187797
0.032550739,0.089447727,777.6807741116756,745.0541878172594,197.2253793489069,4,38897.85025932023,9724.462564830057,18608.71626710076,98.61268967445345,136.4137686126322
0.038996802,0.009138411,184.6674492385788,174.27081218274117,81.08545334770494,4,6574.850744602834,1643.7126861507086,14568.341327761089,40.54272667385247,120.6993841233711
0.04499903,0.697516883,871.5354060913712,881.3494923857872,48.66526361732576,4,2368.3078829438105,592.0769707359526,14042.523470053711,24.33263180866288,118.50115387646532
0.056677226,0.022595646,332.64549492385817,322.1498730964472,45.02706285874274,4,2027.4363896851698,506.85909742129246,13999.91453339638,22.51353142937137,118.32123449912268
0.060578785,0.247940945,690.5760786802034,686.4760152284266,59.39396793204396,4,3527.643426712666,881.9108566781665,14187.440413024817,29.69698396602198,119.11104236394213
0.076491898,0.032888542,407.16192893401046,400.7531725888328,42.251948188334495,4,1785.2271257097027,446.3067814274257,13969.638375399447,21.125974094167248,118.19322474405818
0.097803205,0.374305006,1624.1032994923864,1624.7987309644675,85.88744064503646,4,7376.652460554661,1844.1631151386653,14668.566542255066,42.94372032251823,121.1138577630779
0.100503468,0.00575534,360.88807106599,298.02931472081247,355.515163413094,4,126391.03141663893,31597.757854159732,29545.3639117656,177.757581706547,171.88764909604646
0.130485518,0.158520005,418.374555837564,454.42017766497514,118.90425023788369,4,14138.220724633264,3534.555181158316,15513.762575264893,59.452125118941844,124.55425554859573
0.155752887,0.05940693,523.6424492385789,513.4828680203046,81.20081624802269,4,6593.572559345146,1648.3931398362865,14570.681554603878,40.600408124011345,120.70907817808849
0.165523384,0.013698929,-196.55044416243646,-199.98464467005056,83.87844206936327,4,7035.593043983531,1758.8982609958828,14625.934115183676,41.93922103468164,120.93772825377395
0.201656673,0.994454588,4639.342956852793,4651.978680203047,49.59564180743734,4,2459.7276862916265,614.9319215729066,14053.950945472188,24.79782090371867,118.54936079740028
0.246808359,0.121684022,1257.741814720813,1318.030583756346,163.1162325541656,4,26606.905322664636,6651.726330666159,17072.348150018814,81.5581162770828,130.66119603776332
0.274264573,0.011436918,2775.017005076143,2727.597842639594,211.8837215171381,4,44894.71144395213,11223.677860988033,19358.32391517975,105.94186075856905,139.13419391069814
0.32129454,0.354125558,8231.405139593911,8358.262563451779,497.4534953221032,4,247459.98000817775,61864.99500204444,44678.98248570795,248.7267476610516,211.37403455890214
0.38176695,0.021326634,4664.982994923857,4723.073350253806,868.870906199014,4,754936.6516390959,188734.16290977396,108113.56643957272,434.435453099507,328.8062749394736
0.471281841,0.189110945,8193.042703045687,8062.911802030459,865.1196871572062,4,748432.0731069823,187108.01827674557,107300.49412305852,432.5598435786031,327.5675413148539
0.595064481,0.037487833,6975.503743654824,6902.032233502538,594.2578564277177,4,353142.39992606593,88285.59998151648,57889.284975443974,297.12892821385884,240.60192221892987
0.691594231,0.556344097,9994.111992385788,9684.678934010153,734.3917086999596,4,539331.1818072463,134832.79545181157,81162.88271059153,367.1958543499798,284.8910014559806
0.762589268,0.00780518,8296.685088832488,8267.743527918785,674.319854864253,4,454707.2666641472,113676.8166660368,70584.89331770413,337.1599274321265,265.6781762164596
0.99532202,0.07911293,10034.767956852795,10066.224619289344,145.71372716971018,4,21232.490285688735,5308.122571422184,16400.546270396826,72.85686358485509,128.0646175584686
