0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
127944.47077204303,-33934.27635329,163111.37638000635,92304.78640441985,-34629.929711959696,145447.97183707825,119203.64631226246,179991.9713013689,85430.45661589141,-23534.199073136802,-43722.81654902143,144696.81524189177,-33306.767994942384,157486.58072434753,102491.23126944772,60491.07065602392,-39104.95914838475,167440.67789769845,-33561.29318047061,88431.8331910846,-23455.346033574962,118422.2263451796,122647.41305469906,-26626.215193886364,167199.37458911983,133830.07060300614,65664.06339886089,-32769.28833203504,174921.04865468066,-49866.06777430459,-38651.15740272545,70119.97453462063
-33934.27635329,459696.9788994457,-54867.73628091336,-23964.845174300495,287124.85341673566,-49300.93728018942,-30458.34379588,-77160.51711339132,-19116.52550360989,389852.37524826184,471765.6181282293,-48683.040456293566,163283.08064412425,-49481.29935759191,-34177.645613260254,-13343.446307778013,261773.9719585313,-73656.30794825718,373866.53756392497,-20915.30322717397,285464.07951930334,-32377.588273712066,-54788.25254022729,184660.47910277636,-61497.97527816926,-35792.99070594479,-19650.776120810882,139294.22530534366,-68726.2511633745,434464.3415386963,373035.4187468209,-14665.101829321035
163111.37638000635,-54867.73628091336,322892.14156919916,86827.63893749863,-49324.17658985441,192718.02064774674,198834.59012398068,368952.0836686972,98608.17742134555,-37890.06831126162,-71863.30847436092,340183.9320390146,-42187.90078973506,251487.9740890156,101514.71318823888,47777.37378558078,-56792.73922157294,283672.5595118818,-51053.11763637036,167778.11157375568,-33742.2509413293,132920.4388317327,157282.118250839,-33185.213201367354,367096.2510668348,202264.73504887774,45274.32664479806,-44157.8969649094,322232.3703199902,-83467.1504031869,-59289.164745453265,97968.30648652189
92304.78640441985,-23964.845174300495,86827.63893749863,87305.61541649152,-27590.693261107965,105315.12220465916,69248.24893928514,96029.96889509966,67699.780774702,-16675.131680660743,-30338.162303988203,63699.019696492076,-28808.66778782941,97704.74721167993,94450.36635999022,63215.460329103924,-30853.764717010243,103530.51840609385,-25228.07972137052,44469.61720175784,-18452.73242858561,96216.77330592982,93723.50207255488,-23190.577354291323,82020.09086799402,84542.54551466204,75753.94394418743,-27549.4952978313,100654.09109593627,-33791.22150944933,-28897.1112265252,47601.23039100034
-34629.929711959696,287124.85341673566,-49324.17658985441,-27590.693261107965,280960.43534584215,-49227.41151690617,-28491.467868673673,-68514.1140538198,-20556.082444557054,233708.76436581195,303326.1476723135,-41402.10847041359,215008.10649221644,-47021.72423553532,-38018.50083486612,-16765.2175011054,268989.3097337868,-67774.46785861872,289111.08828087326,-18406.845949865943,229698.03465015776,-34591.92494857802,-53727.28146328154,217816.25317954135,-53802.94865097655,-34599.88353202257,-25044.57825175801,181480.78796519618,-62621.29674256736,278920.6448629797,301592.75217386574,-14684.859615163612
145447.97183707825,-49300.93728018942,192718.02064774674,105315.12220465916,-49227.41151690617,186169.74959779135,128856.49824287146,226793.00122076456,89837.48065682444,-34301.93065092037,-63499.648361341424,164367.80138902768,-46627.62531795214,188882.47468523926,130308.4749260383,64089.13791397525,-55193.43180807822,222117.3818556523,-48240.639169517555,90811.89855095283,-33692.50479359062,138265.79152196474,170179.75679648854,-37694.30478088328,198687.55160425842,149788.74971408013,78188.15007062492,-45148.64559959345,220978.881702529,-72589.62037799848,-55405.12237399948,70490.04948141966
119203.64631226246,-30458.34379588,198834.59012398068,69248.24893928514,-28491.467868673673,128856.49824287146,143973.03949624745,211392.65262361823,80193.29306714064,-21032.957878692483,-39753.04883367835,207141.1541802803,-25368.119275650315,164947.16553122824,74228.97151758855,43346.966124722196,-32679.482525582236,168930.12439372274,-28870.75168102801,124279.58666666286,-19375.017682282247,98788.2418388868,100987.63501890289,-19961.030918005094,216696.59220193396,143961.505274585,38550.0039467068,-26144.827351628344,192125.60067172564,-45992.59608429162,-33476.75334140455,80131.14466180859
179991.9713013689,-77160.51711339132,368952.0836686972,96029.96889509966,-68514.1140538198,226793.00122076456,211392.65262361823,460730.5541195046,103851.23651166975,-53343.45027208978,-101041.83724197722,382985.0978494445,-57787.27867155258,286978.3852840083,118548.72907704365,50636.849472512964,-78889.84490145704,356534.66915492626,-71406.64069969842,172664.85325075994,-47038.70916000208,148664.48965230456,195578.9942415561,-45600.624802489234,429977.69531538984,220398.49213747468,51655.93134884094,-60648.08487740866,392633.63568661,-117296.19666346462,-82913.51328385615,99838.11012435758
85430.45661589141,-19116.52550360989,98608.17742134555,67699.780774702,-20556.082444557054,89837.48065682444,80193.29306714064,103851.23651166975,65886.70877965153,-13231.417185443419,-24528.080669056835,87420.35442616684,-20567.15809173964,97161.76449165576,68250.91774587469,50938.42067749963,-23230.08688248512,97013.95463004672,-19407.53971826733,61904.22773334023,-13771.909908869382,80335.26544344379,73376.88845876361,-16372.356802292466,99002.55685738915,87899.3141930766,49962.45459409996,-20192.583660347307,102534.61633500314,-27768.190401071875,-22353.124854914633,55108.00128995532
-23534.199073136802,389852.37524826184,-37890.06831126162,-16675.131680660743,233708.76436581244,-34301.93065092037,-21032.957878692483,-53343.45027208978,-13231.417185443419,372869.394216595,369361.94741340034,-33518.26772555601,127889.72846039716,-34269.27905940832,-23922.40528749871,-9246.129455671202,200106.9573813317,-51137.9105809796,313468.0030134313,-14404.808818111089,267310.36111717846,-22508.36035217839,-38392.71292512112,161774.59548153746,-42419.34819394685,-24764.406291197873,-13766.517090601761,102790.66557193866,-47578.41443358844,326251.08436818654,296765.2941899441,-10116.663651732377
