TMB,H2O2,mean,median,sd,count,var,sem_var_raw,sem_var_shrunk,sem_sd_raw,sem_sd_shrunk
0.005751907,0.650462438,217.25717005076194,214.683248730965,55.72450528145773,4,3105.2204888632104,776.3051222158026,119425.93592143974,27.862252640728865,345.58057804431047
0.00681507,0.306382467,82.21281725888358,90.7616751269039,68.75975788116992,4,4727.904303877109,1181.9760759692772,119628.77139831649,34.37987894058496,345.8739241375627
0.008044639,0.09358413,-497.29118020304514,-489.2643401015221,34.67327551710811,4,1202.2360350852887,300.55900877132217,119188.0628647175,17.336637758554055,345.2362421078029
0.008552907,0.006839139,-144.32176395939044,-147.21281725888286,47.59875152098765,4,2265.6411463567238,566.4102865891809,119320.98850362643,23.799375760493824,345.4287024895679
0.010632784,0.046265971,-71.05215736040569,-72.75329949238537,26.182972193127213,4,685.5480328660728,171.3870082165182,119123.4768644401,13.091486096563607,345.142690585271
0.011870441,0.01112189,196.5943210659904,187.54771573604114,38.72184202589845,4,1499.3810498786352,374.8452624696588,119225.20599156668,19.360921012949223,345.29003170026016
0.013823092,0.007794013,-372.7057106598981,-365.5170050761417,22.249254486857488,4,495.02932522094807,123.75733130523702,119099.66202598446,11.124627243428744,345.10818887123565
0.01712403,0.039181741,27.435279187817542,8.591751269036164,62.332518349567025,4,3885.3428437991097,971.3357109497774,119523.45121580674,31.166259174783512,345.7216383390064
0.020868612,0.028246804,-166.4059644670046,-161.22043147208055,53.522000610122,4,2864.6045493098995,716.1511373274749,119395.85892899559,26.761000305061,345.5370586912431
0.024810392,0.955565587,18.463007614213282,28.654187817259015,73.28220717274459,4,5370.281888109059,1342.5704720272647,119709.06859634547,36.641103586372296,345.9899833757409
0.029894693,0.017273917,-150.1616116751266,-143.94467005076075,32.45639291333472,4,1053.4174409447642,263.35436023619104,119169.46054044995,16.22819645666736,345.20929961466845
0.033753191,0.009438689,327.7091370558379,322.71332487309667,96.90832347291418,4,9391.22315833097,2347.8057895827424,120211.68625512322,48.45416173645709,346.7155696750915
0.037491824,0.078953589,-451.81192893400976,-458.9453045685274,73.05486688854829,4,5337.013576103509,1334.2533940258772,119704.91005734478,36.527433444274145,345.9839737001481
0.047063973,0.480104932,-365.78286802030425,-365.14873096446667,47.655744528646416,4,2271.0699865796128,567.7674966449032,119321.66710865429,23.827872264323208,345.42968475314086
0.056199394,0.109871827,762.9322335025387,760.6232233502544,97.22323132784048,4,9452.356709826783,2363.089177456696,120219.32794906019,48.61161566392024,346.72658961934286
0.064509234,0.067372212,-42.61269035532956,-41.3482233502536,33.6955030666641,4,1135.38692691557,283.8467317288925,119179.7067261963,16.84775153333205,345.22413983699965
0.07356573,0.811151223,128.14079949238624,100.51751269035562,63.603229579730275,4,4045.370812971876,1011.342703242969,119543.45471195332,31.801614789865138,345.75056718963356
0.09110632,0.019513686,78.73369289340167,71.71230964467058,42.08533977129349,4,1771.1758236652176,442.7939559163044,119259.18033829,21.042669885646745,345.339225021268
0.103787024,0.053095418,-292.94041878172527,-287.65862944162393,54.40751924230276,4,2960.1781501015453,740.0445375253863,119407.80562909454,27.20375962115138,345.5543454061814
0.120376086,0.012914361,1866.8981598984778,1848.3856598984776,229.25018113241373,4,52555.6455492445,13138.911387311126,125607.2390539874,114.62509056620686,354.4111158724955
0.141097525,0.013544883,1926.3057106598994,1910.1390862944172,1411.7427661383247,4,1993017.6377438884,498254.4094359721,368164.9880783179,705.8713830691623,606.7660076819711
0.167990693,0.12664498,2938.7038071066,2874.3936548223364,1277.5859119489867,4,1632225.7624105238,408056.44060263096,323066.0036616473,638.7929559744933,568.3889545563384
0.217033888,0.348300488,542.5792512690361,520.4052030456857,82.95608682910888,4,6881.712341998653,1720.4280854996632,119897.99740308168,41.47804341455444,346.2629021467383
0.236808105,0.223128165,2446.5140862944168,2175.5562182741123,599.4247477459676,4,359310.02821031684,89827.50705257921,163951.53688662144,299.7123738729838,404.9092946409374
0.282070926,0.00533191,8329.424365482235,8131.562944162439,1214.4231257747178,4,1474823.5284164362,368705.88210410904,303390.72441238636,607.2115628873589,550.8091542561601
0.327347815,0.244850457,2344.6076776649757,2148.450888324874,1442.1450975156583,4,2079782.4822884477,519945.6205721119,379010.5936463878,721.0725487578292,615.6383627149853
0.391206804,0.032509788,7035.259771573605,7194.117512690355,2889.8113526124166,4,8351009.653687605,2087752.4134219012,1162913.9900712825,1444.9056763062083,1078.3848988516495
0.458848379,0.189624217,4377.998159898478,3980.9421319796966,1694.9160922195992,4,2872740.559664957,718185.1399162393,478130.3533184515,847.4580461097996,691.469705278873
0.599113782,0.022434213,4917.973223350255,4663.76687817259,1156.0835671797522,4,1336529.2143030607,334132.30357576517,286103.93514821446,578.0417835898761,534.8868433119425
0.667964751,0.138900914,11631.177093908631,11612.441624365485,174.73757033180425,4,30533.218485462236,7633.304621365559,122854.43567101462,87.36878516590212,350.50597094916174
0.721596628,0.413921946,7441.040482233504,6323.724238578681,2838.0896517734186,4,8054752.871503364,2013688.217875841,1125881.8922982523,1419.0448258867093,1061.0758183552448
0.977119594,0.59509777,6243.212690355331,6443.63312182741,1471.730900467486,4,2165991.8433908373,541497.9608477093,389786.7637841865,735.865450233743,624.3290508891818
