TMB,H2O2,latent_mean,latent_std,default_observation_std
0.004999999999999999,0.004999999999999999,747.1490640838665,1737.7937886016648,1751.7725871275331
0.004999999999999999,0.018803015465431967,34.263341181449505,1042.972146217145,1066.1007659193199
0.004999999999999999,0.07071067811865475,209.84828124811565,1308.098569035621,1326.612909488673
0.004999999999999999,0.26591479484724945,253.1453536300737,797.8073528157915,827.8143013477743
0.004999999999999999,1.0,734.1669752323919,1696.2880619504913,1710.606072251796
0.018803015465431967,0.004999999999999999,372.4756333036132,916.4661760400869,942.7036634778199
0.018803015465431967,0.018803015465431967,329.4633315309211,1323.5956531525032,1341.8961950736593
0.018803015465431967,0.07071067811865475,460.6444918002792,1231.2106162962066,1250.8635125342203
0.018803015465431967,0.26591479484724945,180.55675559570295,1036.1414576384864,1059.4192114296256
0.018803015465431967,1.0,53.075500656869735,988.574100018446,1012.9455545764754
0.07071067811865475,0.004999999999999999,1951.2630010889557,1131.8896149997154,1153.236335645546
0.07071067811865475,0.018803015465431967,1160.6305584094123,1169.8280824730314,1190.4947239914559
0.07071067811865475,0.07071067811865475,438.78394252031626,1073.3045991191518,1095.7931866001386
0.07071067811865475,0.26591479484724945,973.4487036554689,1004.2047832569242,1028.2058120945676
0.07071067811865475,1.0,804.5211688633864,1409.3849960426444,1426.5854381631293
0.26591479484724945,0.004999999999999999,4231.125037025,1525.0275956224993,1540.9377381059574
0.26591479484724945,0.018803015465431967,3757.1119501366356,1135.4695134959443,1156.7501724173976
0.26591479484724945,0.07071067811865475,3990.681889600811,984.4658641199765,1008.936560407271
0.26591479484724945,0.26591479484724945,2471.9452026745757,1057.1264363068155,1079.9519654353662
0.26591479484724945,1.0,1064.5521406648631,830.3004470135227,859.1733105839696
1.0,0.004999999999999999,6763.2672235215105,1316.0761296988464,1334.4797954529165
1.0,0.018803015465431967,6248.46073763934,1338.9439231685262,1357.0374993709227
1.0,0.07071067811865475,3993.040278713603,1475.7968529203054,1492.231984779324
1.0,0.26591479484724945,5047.124125542874,1333.6568362344763,1351.8211797955805
1.0,1.0,4382.351709032018,1252.4866599723193,1271.8108266238257
