HRP,n_replicates,n_conditions,auc_min,auc_max,auc_mean,auc_sd,condition_sd_median,condition_sd_mean,condition_sd_max,spearman_mean_sd,low_mean_condition_sd_mean,high_mean_condition_sd_mean,high_low_condition_sd_ratio,candidate_pred_max,candidate_pred_min,candidate_sigma_mean,candidate_sigma_max,candidate_TMB_min,candidate_TMB_max,candidate_H2O2_min,candidate_H2O2_max
1,128,32,-546.0837563451772,11835.70304568528,1916.4402076062825,3206.7285611073903,73.16853703064643,547.094821484374,2889.8113526124166,0.8456744868035191,48.39257348425641,1045.7970694844917,21.610693422302113,10346.986326250966,-174.1968960899951,1339.3079679674702,1834.1056359553484,0.0058669840704964,0.8471362638958875,0.005806090270933,0.7450841487823109
0.01,128,32,-471.6824873096448,8365.131725888332,1776.3514435279194,2175.1899970354343,124.69010114336665,283.44757697300236,1393.7795025128394,0.7877565982404692,62.10178060477565,504.79337334122914,8.128484697625728,7671.678937388388,-9.682787475968098,1116.839090182898,1609.885412514663,0.0051552843458374,1.0,0.0049999999999999,0.9602031462520836
0.0001,128,32,-657.6492385786802,568.6532994923864,-25.16431828997427,311.29335835376185,48.93586066346117,53.34068194245097,125.46907856482987,0.4783724340175953,40.308242004493295,66.37312188040865,1.646638964631844,406.98594133110447,-285.29226613707004,237.49355121182847,294.8408736959823,0.0049999999999999,1.0,0.0049999999999999,1.0
