TMB,H2O2,predicted_value,uncertainty_std
0.521678122,0.008840938,7653.74809,661.4763793
1,0.009721221,7573.725394,731.1639817
1,0.007784232,7303.291253,835.0930767
0.587665528,0.007744862,7118.699231,992.4160905
1,0.495881586,5903.557133,1503.080365
0.407609754,0.050621992,5753.411639,314.7127041
0.287854893,0.053359231,5576.699269,281.3251909
0.158860908,0.052415755,5076.759263,745.6701614
0.336086315,0.474395234,4827.362269,1170.150543
0.2243206,0.056998453,4610.424296,347.314678
0.095982085,0.119414783,3651.424513,785.200764
0.453933802,0.012957285,3305.025522,945.8305914
0.250178868,0.005624796,2769.421041,1796.037182
0.23078007,0.255024512,2767.557727,1550.704116
0.075600884,0.152344936,1861.866729,800.1281957
0.073564641,0.01140162,1538.19982,417.4805803
0.785716936,0.020955176,1278.62572,1980.574541
0.017880055,0.05082644,1186.974322,1994.202755
0.046314455,0.156953079,925.9459866,438.1002545
0.005267764,0.34789122,775.7716938,1684.682863
0.045498948,0.03203388,745.5251954,787.0899831
0.005025322,0.123976972,673.9587617,1255.404901
0.034240124,0.029958747,657.2906018,895.5255129
0.006388834,0.117046882,630.8161094,1029.244508
0.033907196,0.282504356,450.0725922,542.4677324
0.006519229,0.615653661,387.495327,1580.850867
0.009478598,0.017171137,300.8121619,1310.615568
0.217837555,0.979952665,160.7298911,546.1857144
0.020374983,0.156812791,98.02905664,436.375791
0.057716298,0.730498857,-120.6199404,1320.173589
0.020599527,0.506221248,-367.9361789,583.5876129
0.03162164,0.068881799,-441.118245,1049.274253
