TMB,H2O2,latent_mean,latent_std,default_observation_std
0.004999999999999999,0.004999999999999999,-166.57808816795702,287.1878503125172,288.74021215439586
0.004999999999999999,0.005708154957083469,-173.59576110384828,284.45472460454494,286.02192065939323
0.004999999999999999,0.006516606602815316,-180.95739904028432,281.38015401657157,282.96437906957533
0.004999999999999999,0.007439560056644623,-188.67790225673573,277.91572047222434,279.5195814847974
0.004999999999999999,0.008493232323171236,-196.7722528298023,274.00470111052095,275.6313207502128
0.004999999999999999,0.009696137237434288,-205.25530736059582,269.58030044213905,271.23345504254206
0.004999999999999999,0.011069410767284429,-214.14145694732957,264.5634322163952,266.24773879595654
0.004999999999999999,0.012637182388653549,-223.44405810150442,258.8599324237417,260.58110707084063
0.004999999999999999,0.014426999059072134,-233.17446017553988,252.3570778115519,254.12230022063477
0.004999999999999999,0.01647030923897623,-243.34030121596945,244.91933348610223,246.73777307724356
0.004999999999999999,0.018803015465431967,-253.94242524597433,236.38348794984213,238.26708149296232
0.004999999999999999,0.021466105187424523,-264.9690700805645,226.55415141294975,228.51877881321383
0.004999999999999999,0.02450637094697449,-276.38430979440767,215.20326102339737,217.27055093349693
0.004999999999999999,0.027977232560219754,-288.1034891749333,202.08603492072365,204.28610882245695
0.004999999999999999,0.03193967574481908,-299.9367288395158,187.01608189143204,189.39129767194584
0.004999999999999999,0.03646332368608554,-311.4483565865438,170.15008341607486,172.75734321393696
0.004999999999999999,0.041627660370093654,-321.6001419719655,152.97880689058826,155.87355165488685
0.004999999999999999,0.047523427178667435,-328.09835789565193,140.7937382369138,143.93375377084203
0.004999999999999999,0.05425421728550116,-328.0249802271777,141.94215927500844,145.05731738693035
0.004999999999999999,0.06193829586818342,-321.732528013525,155.3019901128525,158.15421866283972
0.004999999999999999,0.07071067811865475,-312.2510065045525,172.34451476662105,174.91906848020557
0.004999999999999999,0.08072550156434655,-301.63851379055075,188.57196543039544,190.92782640077124
0.004999999999999999,0.09215873438351481,-290.7976156349051,202.83798402359628,205.02998929570637
0.004999999999999999,0.10521126730195977,-280.10714695963406,215.08543106329995,217.15384270955542
0.004999999999999999,0.12011244339814311,-269.73158077728067,225.526382737103,227.4998858424396
0.004999999999999999,0.13712408783810365,-259.7420388070952,234.4116358770419,236.310947233495
0.004999999999999999,0.15654510834572408,-250.1654518644892,241.97137481309866,243.81180237384297
0.004999999999999999,0.17871674724216274,-241.0062205107464,248.4039568177379,250.19707134686723
0.004999999999999999,0.20402857733683694,-232.25654972328704,253.87785381133617,255.63257500500782
0.004999999999999999,0.23292534702239076,-223.90174341296623,258.5365370393983,260.2598504037166
0.004999999999999999,0.26591479484724945,-215.92310367430687,262.503325072404,264.20076536965024
0.004999999999999999,0.3035765708738321,-208.29963396206813,265.8854134330274,267.5613982328031
0.004999999999999999,0.3465724215775732,-201.00912575663745,268.77697551586897,270.4350408421564
0.004999999999999999,0.39565781724328924,-194.02892248999706,271.2614180419818,272.90438923913916
0.004999999999999999,0.4516952261612214,-187.33651272799327,273.41292100581467,275.04304048779824
0.004999999999999999,0.5156692688606229,-180.910028808262,275.2973992747674,276.91642565093804
0.004999999999999999,0.5887040186524746,-174.72868364904556,276.97302390812064,278.5823122896519
0.004999999999999999,0.6720827524652164,-168.77315243314754,278.490442896576,280.09101294502796
0.004999999999999999,0.7672704990109255,-163.02589087903377,279.8928408389143,281.485436747123
0.004999999999999999,0.8759397804706243,-157.47137506404155,281.21596978055663,282.80111457959237
0.004999999999999999,1.0,-152.09624779823494,282.48826473526657,284.066309971779
0.005708154957083469,0.004999999999999999,-177.37350793776707,285.4468464599105,287.00862513476574
0.005708154957083469,0.005708154957083469,-184.38282261934438,282.78781479038776,284.36419771441587
