model,n_seeds,mll_mean,mll_std,mll_min,mll_max,fit_seconds_mean,fit_seconds_std,fit_seconds_min,fit_seconds_max,train_rmse_mean,train_rmse_std,train_rmse_min,train_rmse_max,train_mae_mean,train_mae_std,train_mae_min,train_mae_max,train_r2_mean,train_r2_std,train_r2_min,train_r2_max,train_z_std_mean,train_z_std_std,train_z_std_min,train_z_std_max,noise_standardized_mean,noise_standardized_std,noise_standardized_min,noise_standardized_max,eig_min_mean,eig_min_std,eig_min_min,eig_min_max,eig_max_mean,eig_max_std,eig_max_min,eig_max_max,condition_number_mean,condition_number_std,condition_number_min,condition_number_max,loo_rmse_model_space_mean,loo_rmse_model_space_std,loo_rmse_model_space_min,loo_rmse_model_space_max,loo_mae_model_space_mean,loo_mae_model_space_std,loo_mae_model_space_min,loo_mae_model_space_max,loo_z_mean_mean,loo_z_mean_std,loo_z_mean_min,loo_z_mean_max,loo_z_std_mean,loo_z_std_std,loo_z_std_min,loo_z_std_max,loo_frac_abs_z_gt_2_mean,loo_frac_abs_z_gt_2_std,loo_frac_abs_z_gt_2_min,loo_frac_abs_z_gt_2_max,loo_frac_abs_z_gt_3_mean,loo_frac_abs_z_gt_3_std,loo_frac_abs_z_gt_3_min,loo_frac_abs_z_gt_3_max,loo_cholesky_jitter_mean,loo_cholesky_jitter_std,loo_cholesky_jitter_min,loo_cholesky_jitter_max,kernel_diag_min_mean,kernel_diag_min_std,kernel_diag_min_min,kernel_diag_min_max,kernel_diag_max_mean,kernel_diag_max_std,kernel_diag_max_min,kernel_diag_max_max
baseline_kernel,10,-0.31315359331501474,0.0,-0.31315359331501474,-0.31315359331501474,5.1924529552459715,0.6475713946340831,4.280572891235352,6.415430545806885,6474.495489375867,9.586915924860112e-13,6474.495489375866,6474.495489375866,4637.234641311237,9.586915924860112e-13,4637.234641311236,4637.234641311236,0.9391138464706786,0.0,0.9391138464706786,0.9391138464706786,0.8727711368068505,0.0,0.8727711368068505,0.8727711368068505,0.07255091286728702,1.4628472785736255e-17,0.07255091286728703,0.07255091286728703,0.07255091286728543,0.0,0.07255091286728543,0.07255091286728543,285.71028224159534,5.99182245303757e-14,285.7102822415953,285.7102822415953,3938.0659863540795,0.0,3938.0659863540795,3938.0659863540795,0.2899850504700003,0.0,0.2899850504700003,0.2899850504700003,0.21161512403827118,0.0,0.21161512403827118,0.21161512403827118,0.0009586801714218373,1.142849436385645e-19,0.0009586801714218374,0.0009586801714218374,0.9800010150916989,2.340555645717801e-16,0.9800010150916991,0.9800010150916991,0.04708520179372198,7.314236392868128e-18,0.04708520179372197,0.04708520179372197,0.017937219730941704,0.0,0.017937219730941704,0.017937219730941704,0.0,0.0,0.0,0.0,0.6770398235878037,0.0,0.6770398235878037,0.6770398235878037,0.970386466090703,1.1702778228589004e-16,0.9703864660907029,0.9703864660907029
per_add_alpha,10,-0.26132127599507876,5.851389114294502e-17,-0.2613212759950787,-0.2613212759950787,6.3424558401107785,0.30998734190345023,5.772794008255005,6.686905384063721,6448.192579970034,0.0,6448.192579970034,6448.192579970034,4600.665270592368,0.0,4600.665270592368,4600.665270592368,0.9396075466939916,0.0,0.9396075466939916,0.9396075466939916,0.8769898881346896,0.0,0.8769898881346896,0.8769898881346896,0.07150654454663649,1.4628472785736255e-17,0.07150654454663648,0.07150654454663648,0.07150654454663499,1.4628472785736255e-17,0.071506544546635,0.071506544546635,234.80726974375892,2.995911226518785e-14,234.80726974375895,234.80726974375895,3283.7171930552845,0.0,3283.7171930552845,3283.7171930552845,0.2875803975324844,0.0,0.2875803975324844,0.2875803975324844,0.2089717645718489,2.925694557147251e-17,0.20897176457184893,0.20897176457184893,-0.0006107162890943872,0.0,-0.0006107162890943872,-0.0006107162890943872,0.9804260202153896,0.0,0.9804260202153896,0.9804260202153896,0.04708520179372198,7.314236392868128e-18,0.04708520179372197,0.04708520179372197,0.017937219730941704,0.0,0.017937219730941704,0.017937219730941704,0.0,0.0,0.0,0.0,0.5578095323368072,0.0,0.5578095323368072,0.5578095323368072,1.0448660157072038,0.0,1.0448660157072038,1.0448660157072038
per_add_alpha_set,10,-0.10822421479685758,0.0,-0.10822421479685758,-0.10822421479685758,5.811240077018738,0.38791904334278077,5.286686658859253,6.415632247924805,1760.7646778807914,0.0,1760.7646778807914,1760.7646778807914,1251.1037465027152,0.0,1251.1037465027152,1251.1037465027152,0.9954969236765884,0.0,0.9954969236765884,0.9954969236765884,0.5044600514202326,1.1702778228589004e-16,0.5044600514202328,0.5044600514202328,0.012760857987819143,0.0,0.012760857987819143,0.012760857987819143,0.01276085798781854,0.0,0.01276085798781854,0.01276085798781854,156.73066691195137,0.0,156.73066691195137,156.73066691195137,12282.141769900252,0.0,12282.141769900252,12282.141769900252,0.2709706873222274,5.851389114294502e-17,0.27097068732222745,0.27097068732222745,0.1946677798635856,0.0,0.1946677798635856,0.1946677798635856,0.00579801923656399,0.0,0.00579801923656399,0.00579801923656399,1.0041040004039272,0.0,1.0041040004039272,1.0041040004039272,0.06278026905829595,1.4628472785736255e-17,0.06278026905829596,0.06278026905829596,0.006726457399103139,0.0,0.006726457399103139,0.006726457399103139,0.0,0.0,0.0,0.0,0.6421342432928105,0.0,0.6421342432928105,0.6421342432928105,1.3173971825679842,2.340555645717801e-16,1.3173971825679844,1.3173971825679844
per_add_alpha_pair,10,-0.1758032465693012,2.925694557147251e-17,-0.17580324656930124,-0.17580324656930124,7.91247193813324,0.7496418413148895,6.9521684646606445,9.588939666748047,2836.4762862621287,0.0,2836.4762862621287,2836.4762862621287,2068.6641049274413,4.793457962430056e-13,2068.6641049274417,2068.6641049274417,0.9883140240724693,0.0,0.9883140240724693,0.9883140240724693,0.5875985688233663,1.1702778228589004e-16,0.5875985688233664,0.5875985688233664,0.02502732338707902,0.0,0.02502732338707902,0.02502732338707902,0.025027323389237716,0.0,0.025027323389237716,0.025027323389237716,257.7887083722868,5.99182245303757e-14,257.78870837228686,257.78870837228686,10300.290780720943,0.0,10300.290780720943,10300.290780720943,0.29938575996815237,0.0,0.29938575996815237,0.29938575996815237,0.214868266538347,0.0,0.214868266538347,0.214868266538347,0.031072754153616176,3.657118196434064e-18,0.03107275415361618,0.03107275415361618,1.0077170791657082,0.0,1.0077170791657082,1.0077170791657082,0.049327354260089676,7.314236392868128e-18,0.04932735426008968,0.04932735426008968,0.006726457399103139,0.0,0.006726457399103139,0.006726457399103139,0.0,0.0,0.0,0.0,0.6091365054031048,1.1702778228589004e-16,0.6091365054031049,0.6091365054031049,2.2897633892776073,4.681111291435602e-16,2.2897633892776077,2.2897633892776077
per_add_alpha_set_pair,10,-0.10860406212771714,1.4628472785736255e-17,-0.10860406212771713,-0.10860406212771713,7.11868634223938,0.6395459207620937,5.7065534591674805,7.718579292297363,1858.466157330055,2.396728981215028e-13,1858.4661573300548,1858.4661573300548,1318.6244699433112,2.396728981215028e-13,1318.624469943311,1318.624469943311,0.9949833247627244,0.0,0.9949833247627244,0.9949833247627244,0.5116000051839438,1.1702778228589004e-16,0.5116000051839439,0.5116000051839439,0.013772850216753152,0.0,0.013772850216753152,0.013772850216753152,0.013772850216752393,1.828559098217032e-18,0.013772850216752395,0.013772850216752395,163.73401551396302,0.0,163.73401551396302,163.73401551396302,11888.172232847463,1.9173831849720224e-12,11888.172232847464,11888.172232847464,0.2708952000502357,5.851389114294502e-17,0.27089520005023565,0.27089520005023565,0.1950878642910092,0.0,0.1950878642910092,0.1950878642910092,0.006829182092447937,0.0,0.006829182092447937,0.006829182092447937,1.0050077034613607,0.0,1.0050077034613607,1.0050077034613607,0.060538116591928245,7.314236392868128e-18,0.06053811659192825,0.06053811659192825,0.006726457399103139,0.0,0.006726457399103139,0.006726457399103139,0.0,0.0,0.0,0.0,0.6305644065675996,0.0,0.6305644065675996,0.6305644065675996,1.4848625309381878,2.340555645717801e-16,1.484862530938188,1.484862530938188
new_additive_set,10,-0.16414477397641974,0.0,-0.16414477397641974,-0.16414477397641974,7.013063192367554,0.6805721312781673,5.792719125747681,7.758959054946899,1583.7282010480299,0.0,1583.7282010480299,1583.7282010480299,1098.3015479889068,2.396728981215028e-13,1098.3015479889066,1098.3015479889066,0.996356926163189,0.0,0.996356926163189,0.996356926163189,0.49595951380139985,5.851389114294502e-17,0.4959595138013999,0.4959595138013999,0.010905661832976048,0.0,0.010905661832976048,0.010905661832976048,0.010905661832975384,0.0,0.010905661832975384,0.010905661832975384,172.60509682124803,0.0,172.60509682124803,172.60509682124803,15827.108841697534,0.0,15827.108841697534,15827.108841697534,0.271278392206138,0.0,0.271278392206138,0.271278392206138,0.19405838799645642,2.925694557147251e-17,0.19405838799645644,0.19405838799645644,0.005410956118905325,0.0,0.005410956118905325,0.005410956118905325,0.9879078751996533,1.1702778228589004e-16,0.9879078751996532,0.9879078751996532,0.058295964125560526,1.4628472785736255e-17,0.05829596412556054,0.05829596412556054,0.002242152466367713,0.0,0.002242152466367713,0.002242152466367713,0.0,0.0,0.0,0.0,0.5842911710289638,0.0,0.5842911710289638,0.5842911710289638,2.6277035011435226,4.681111291435602e-16,2.627703501143523,2.627703501143523
