tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,feso4,peg20k,mgso4,model,acq,pred_mean,pred_sigma,active_count
2.0,0.003981016804862533,0.8290259599373042,0.0745315181806447,0.03306246822753368,0.34751880985371086,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.854028630369813,201896.6569974462,12502.76532288373,4
2.0,0.0016011460383954213,2.0,0.08944846821827611,0.03420168034487064,0.3581321636461181,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.786989127795687,198556.72147264626,14392.382860603868,4
2.0,0.018851158099596782,0.7683903991901467,0.06485153926980494,0.031879955779916806,0.3502105237344672,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.76463369414512,197469.03631790366,12141.924623833234,4
2.0,0.003424461974665614,0.0,0.07096898300976236,0.03341584269039102,0.34378761349307474,0.0029782555815706397,0.0,0.0,0.0,0.0,new_additive_set,10.764000051169722,197445.0824105488,12464.057617420907,4
2.0,0.001,0.24834971250604962,0.08049787732790138,0.03330838159956393,0.355161192885477,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.726251714665779,195707.25695470115,14688.966958762148,4
2.0,0.001,1.128787091262388,0.2196095032514985,0.04271936876081827,0.36517324368491827,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.709279449933506,194945.95218488656,15303.684357145628,4
2.0,0.0036543688168820657,0.0,0.0705984296258369,0.033456695366981336,0.3452521855396665,0.0,0.03450202796238931,0.0,0.0,0.0,new_additive_set,10.668074219725549,193128.34655556682,13597.213842526642,4
0.02715016570923467,0.001,0.5193601915138195,0.11012542883778463,0.03647771700426719,0.3614862761243822,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.664770772202688,192938.99032802455,15373.484284605156,4
2.0,0.0033224896051698848,1.0482737942690048,0.0,0.032607351382704396,0.33120755434711896,0.0025744780168960478,0.0,0.0,0.0,0.0,new_additive_set,10.635242236241274,191730.6285373555,12501.120042975013,4
2.0,0.012252711946846448,0.0,0.08250030624382922,0.012847677234633387,0.355551674085083,0.0046927296056794125,0.0,0.0,0.0,0.0,new_additive_set,10.618064716757587,191024.39639463904,12481.672420500636,4
0.06560617719170837,0.001,1.704320177972992,0.03916935377077588,0.07533962151062674,0.3285472020690977,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.612992318848827,190722.61739652348,15309.084268681663,4
2.0,0.0026633761054764915,0.0,0.32676424976251506,0.06748164035128539,0.31724642872360176,0.0041480703001937295,0.0,0.0,0.0,0.0,new_additive_set,10.583449179235293,189629.5033277871,13833.206097108614,4
2.0,0.011601628405644738,0.5423214509787457,0.0,0.052356449883821696,0.34031450703131383,0.004915216422953933,0.0,0.0,0.0,0.0,new_additive_set,10.534915818422853,187755.99958645742,11731.75622775585,4
2.0,0.003290186095010433,0.41775348917289484,0.0,0.026211987076292707,0.3424608378180164,0.0,0.046867312168094345,0.0,0.0,0.0,new_additive_set,10.517643128142142,186983.00053481953,13633.242587498475,4
1.9746233685528454,0.001,0.0,0.26377657080956923,0.023419370944243272,0.33481519656081843,0.00803710105907307,0.0,0.0,0.0,0.0,new_additive_set,10.495225567095334,186061.72333879856,15419.546171450718,4
0.018077014149799023,0.00472372756595582,0.17856587151058037,0.10605246434482138,0.1388254699231033,0.3439342944780794,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.492666922784325,186023.1510653255,14477.551064174822,4
0.711638110788128,0.001,1.378957563104465,0.0,0.04137762901893746,0.33259712738778907,0.0,0.024735078650740386,0.0,0.0,0.0,new_additive_set,10.459361766960894,184695.771437171,15251.500696755338,4
2.0,0.0029053043721539305,0.0,0.17107282822874337,0.12786693898426454,0.3582950688879478,0.0,0.13097531601564016,0.0,0.0,0.0,new_additive_set,10.448054150636647,184363.66635696532,15186.465534253612,4
2.0,0.0016320932805811421,0.3213653786441673,0.7633936149178878,0.18291247291640086,0.3409793193512817,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.44717101202126,184289.86286759365,15284.582936355075,4
0.11712615632018024,0.004114157043333801,0.9528107978152631,0.0,0.03416067751825703,0.36624214113148607,0.0,0.13690603371916846,0.0,0.0,0.0,new_additive_set,10.434129283326023,183885.85259277112,14142.597279351243,4
2.0,0.004616394718784348,1.0505250058896525,0.0,0.03100765014093965,0.3428240251646425,0.0,0.0,0.0017794675747592674,0.0,0.0,new_additive_set,10.393853639924027,182403.07112852237,15348.978345129646,4
