tmb,h2o2,cmc,bsa,imidazole,sucrose,edta,pva,cacl2,feso4,peg20k,peg200k,model,acq,pred_mean,pred_sigma,active_count
1.0,0.007632420212354866,1.0,0.060288231130114514,0.03244561421241301,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,11.176655681673036,222012.6721816425,15299.064995305114,4
0.09915539909885604,0.006689448287157736,1.0,0.08029362640873998,0.024882582696101666,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,11.093447652568484,216321.40019015342,18642.96333490661,4
0.005062445445960645,0.00828156236647314,1.0,0.12233479669761436,0.04094283553672561,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,11.089180560350837,216037.99036506424,17400.472677181468,4
0.01441738093614428,0.00574855116556266,1.0,0.06254110914450356,0.03413593079953221,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,11.030705666419406,212313.33196429972,21591.097333680922,4
0.004999999999999999,0.007105569848529171,1.0,0.08118724675616527,0.03200257255866844,0.0,0.0,0.004999999999999999,0.0,0.0,0.0,0.0,old_mixed_hamming,11.026031733040012,212029.013213514,17879.69470325396,4
0.04779985761912479,0.007993998896889667,1.0,0.06629761026965908,0.03283656628142596,0.0,0.03126310244692464,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,11.025211771334638,211983.450989764,16885.775080283885,4
0.09622732017186049,0.007841639450827012,1.0,0.0695657334876413,0.03209417883021526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,old_mixed_hamming,10.981495379915247,209356.7899329806,16667.818108876796,4
0.1731501938704312,0.005922618177134007,1.0,0.0705829578602234,0.0324046074986395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,old_mixed_hamming,10.917303634692326,205699.23953761667,21050.954335449398,4
0.004999999999999999,0.007964959347082672,1.0,0.14534112093638865,0.036014338214879225,0.14880267812452116,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,10.912118169589332,205425.4207071677,21400.99172694601,4
0.004999999999999999,0.006921987822048658,1.0,0.049849422811669895,0.0363532058697323,0.0,0.0,0.0,0.0,0.34036291787887174,0.0,0.0,old_mixed_hamming,10.903377354673397,204953.34455130214,20291.035153969206,4
0.3560082923546419,0.007538545795869639,1.0,0.04968631028117886,0.0,0.004999999999999999,0.0,0.0,0.2163430389375425,0.0,0.0,0.0,old_mixed_hamming,10.897777854733347,204737.78790531534,17340.136610434576,4
0.006806378784764252,0.006475628789011967,1.0,0.04587467964072498,0.04168791809298191,0.0,0.059300315635097516,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,10.877146094971435,203537.60604672006,21612.94288489869,4
1.0,0.006657686239441332,1.0,0.06439289772143234,0.029829193862511646,0.36060620323767767,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,10.84577847461276,201905.37952642515,23037.11734227095,4
1.0,0.007188101805131001,1.0,0.38167878750602957,0.039911133734365355,0.0,0.0,0.004999999999999999,0.0,0.0,0.0,0.0,old_mixed_hamming,10.832728428178983,201247.2565113242,21029.413933727723,4
1.0,0.007758621628153641,1.0,0.08257531426945398,0.061035715497320474,0.0,0.0,0.0,0.0,0.0,1.0,0.0,old_mixed_hamming,10.825248096813521,200874.20961480262,19220.096039201508,4
1.0,0.00918886774716509,1.0,0.1535608596591559,0.032744815585789566,0.0,0.0,0.0,0.0,1.0,0.0,0.0,old_mixed_hamming,10.745638886891285,197041.92165535683,19895.9761709617,4
1.0,0.007926325236375351,1.0,0.0986927300587603,0.0,0.0,0.04864225722655857,0.0,0.24728550107715686,0.0,0.0,0.0,old_mixed_hamming,10.670216995611133,193804.15732672732,20994.560922041066,4
1.0,0.006231124410706255,1.0,0.12827560250310385,0.023208475819570727,0.0,0.20821144125346525,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,10.6490256113485,192747.15706707357,24886.22197516356,4
1.0,0.008300959989077308,1.0,0.08646560718309966,0.041514267805193655,0.0,0.0,0.25399858787564245,0.0,0.0,0.0,0.0,old_mixed_hamming,10.63890533469543,192323.32936056083,22181.817267652314,4
1.0,0.00824172148014934,0.0,0.46736766182783945,0.03373296489180475,0.010480908559488945,0.0,0.0,0.0,0.0,0.0,1.0,old_mixed_hamming,10.617649993270193,191600.37677700605,20065.474168599736,4
0.004999999999999999,0.007943318159077974,1.0,0.04429648190516141,0.06918134270502946,0.0,0.0,0.0,0.0,1.0,0.0,0.0,old_mixed_hamming,10.584222705996245,189990.35183225584,23243.52807122286,4
0.4180966682446979,0.007281545706445762,1.0,0.5246494935729611,0.08343295241996358,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,old_mixed_hamming,10.526768728187744,187546.12647340543,25226.803115858464,4
0.004999999999999999,0.006198777638128049,1.0,0.05032331703717308,0.0,0.0,0.24600290675248926,0.0,0.2280103356042871,0.0,0.0,0.0,old_mixed_hamming,10.394125048268727,182182.51487849175,26028.988860067904,4
