tmb,h2o2,imidazole,cmc,bsa,cacl2,feso4,pva,sucrose,pred_mean,pred_sigma
0.9891651803729333,0.010003061981863496,0.0013842403524403392,2.0,0.018836247574092045,0.1830284892596806,0.0,0.0,0.0,192596.7127534233,15631.761503637763
1.6990545236580474,0.011828062917617807,0.02828661252552124,2.0,0.0,0.2146002101828496,0.0010841087155859244,0.0,0.0,189022.1438968665,15433.447895968478
0.001,0.011681631280374846,2.0,2.0,0.031426423489076705,0.2098362535947199,0.0,0.0,0.0,186812.83119670197,19950.470890025983
0.001,0.007335121497810826,0.001,2.0,0.03376946607523982,0.18868384148367112,0.0,0.0,0.0,184569.8103696297,20832.81960932831
2.0,0.008426764425900901,2.0,2.0,0.2133182485521861,0.20823868479442176,0.0,0.0,0.0,183708.65759407825,21713.4253546224
2.0,0.010737804032890567,2.0,2.0,0.0,0.2308420388805277,2.0,0.0,0.0,183934.31177836563,17762.764137898022
1.3564611421021209,0.0057149229599165055,1.516190135831761,1.4843973953806924,0.026481511189854093,0.0,1.1226635970702128,0.0,0.0,183527.5764059882,21240.63223354884
2.0,0.006769273051704513,0.0027176640353716846,2.0,0.0,0.2124669678809755,0.0010573319730569845,0.0,0.0,183054.15334553982,19481.025197740862
0.832545541458672,0.0056495568441225575,2.0,1.3311205949399776,0.03889994299531801,0.0,0.0,0.00775437801078147,0.0,182675.87055513024,21684.59744985736
0.001,0.005777346525227993,2.0,2.0,0.03892063407548699,0.0,0.0,0.0,0.001,181309.8781094394,21884.333698669787
0.11329279979639027,0.01638250252110091,2.0,2.0,0.03452860207197893,0.16801000811242908,0.0,0.0,0.0,178255.4766665431,23003.036019183506
0.001,0.014733142958176541,0.001,2.0,0.0,0.18467326570788864,0.3166558944746477,0.0,0.0,177017.0872419437,21036.49952965511
0.28766851537825844,0.005168136564457064,0.001,0.1438569990065323,0.0,0.0,2.0,0.012522117747110617,0.0,175948.8144971814,22672.805232518345
0.001,0.005760934275799487,2.0,0.13178986203282672,0.08717803539412257,0.0,0.0,0.025617986709253995,0.0,174332.0304819814,23425.849209429314
0.001,0.005257245399503196,0.7976128774653339,0.0,0.03696013828097064,0.0,2.0,0.011213302028498786,0.0,173062.33079504655,23629.23046959651
2.0,0.004658548761898044,2.0,2.0,0.1973544016527062,0.0,0.005796594269737948,0.0,0.0,172247.1955881148,26044.20619752291
2.0,0.015818418719622324,0.001,0.06752159592017268,0.6330413289863236,0.1896396804986029,0.0,0.0,0.0,171949.37468791418,24034.27976508837
2.0,0.004207388672478807,0.0021061680014780215,0.005081272993231193,0.05690020715824103,0.0,2.0,0.0,0.0,169721.2987457399,26552.19128287458
0.0047122527326747534,0.00637639174020029,0.001,1.4859073130524003,0.1718736582715233,0.2952959265155996,0.0,0.0,0.0,169134.8441731857,26322.28579511333
2.0,0.007648623975643065,0.00638927374140552,0.022429206017559593,0.4964108230215321,0.3217751278024402,0.0,0.0,0.0,168940.48333729923,24703.527655174057
0.001,0.004770061209407517,2.0,2.0,0.0,0.0,0.2432832249291631,0.019049412051571023,0.0,168461.35801231896,25748.21421355082
0.006600476797167133,0.017413412504397034,2.0,2.0,0.0,0.3389677581263371,0.001,0.0,0.0,168230.11847240885,24926.19350555426
0.001,0.0041491857422395854,0.001,0.001,0.03519400130351939,0.0,0.0,0.0,0.001,166432.0943759768,26801.920326781492
0.001,0.005151092549068891,0.001,2.0,0.0,0.1457923628869284,0.0010174981549537707,0.0,0.0,166441.4022384098,25146.287463195007
0.001,0.005447301768694952,0.001,2.0,0.04674070200596033,0.11275908505515582,0.0,0.0,0.0,166042.74300071062,25212.52092910055
2.0,0.004905815154460581,0.001,0.07318558965781755,0.021326089863855847,0.2886821299434563,0.0,0.0,0.0,162783.07369420383,26688.656480787507
2.0,0.004855777760715071,0.001,2.0,0.0,0.24990842946235153,2.0,0.0,0.0,161987.1534804824,27288.735001992027
2.0,0.01751274636385099,2.0,0.003369872584033002,0.2286278499218607,0.31837025250008955,0.0,0.0,0.0,160938.85893752606,26563.556075825432
2.0,0.003674868296294069,0.001,0.001,0.0,0.0,2.0,0.019717273705452842,0.0,158574.23171009205,28520.745882251987
0.001000048956093545,0.015568851473798755,0.4740652615981626,2.0,1.0410730120983778,0.07346853473770032,0.0,0.0,0.0,155431.963089695,27000.59072160692
2.0,0.003560321810110172,0.08380885551314658,0.007055535449780511,0.0,0.8291716489221074,0.0012104802651110912,0.0,0.0,142137.10446562534,30126.551256646617
2.0,0.023881863900194585,0.001,2.0,0.12212498937849388,0.041939736281266515,0.0,0.0,0.0,137474.7985429974,30543.62513444556
