tmb,h2o2,cacl2,mncl2,model,acq,pred_mean,pred_sigma,active_count
0.001,0.001,2.0,2.0,hierarchical_family_prior,10.052028688372683,157894.97106644948,28288.77780308832,2
0.001,2.0,2.0,2.0,hierarchical_family_prior,9.866127419587796,152522.17133872988,28303.591627053287,2
