TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.9942802045243097,0.017267841592017986,3141.957766537432,1099.146621992208,1116.39535036182
0.07794463515951604,0.015066728677597162,-194.3966510879909,672.3493837155858,700.1920989666597
0.04096181506767623,0.011836151917132913,-102.6031732947954,670.5196733977009,698.4353327874873
0.3345647972060768,0.010970802898021093,1549.221895258064,561.7244545298693,594.7685638040125
0.21537126628168118,0.005711010819099076,2064.9882424180046,574.8503265490141,607.1805164908676
0.9116828894301664,0.5894169448484022,9023.453428210754,234.2670381352764,305.11690682307926
0.04365414413273683,0.9329137518654707,24.22382830848551,527.0237474069224,562.1114764914911
0.0072711434649747175,0.11287604940416185,-417.4761312312844,651.2113487649318,679.9202176967899
0.8203243913983811,0.0423187538581974,1565.0422232322055,1066.6260797970208,1084.3922149184625
0.017898835112494727,0.0158535334432211,-406.75351643225054,638.6325328112708,667.8823202013566
0.3280769353968576,0.39976137967263925,4367.185826755068,817.7377435792814,840.7795780980549
0.06843670185829034,0.6663516626795096,321.9237263086169,816.6475494622769,839.7192993586314
0.8685469219103304,0.5837074750478715,8858.153924803235,294.5160803452128,353.4897498577808
0.01756464990786795,0.0139258943333652,-398.73940530591267,651.7423743578851,680.4288384587048
0.01759597883941596,0.00682210849068535,-496.71950367290356,568.1653401358965,600.8553365031781
0.019831668803915077,0.42561599280670587,-235.3230631236488,561.5111347107386,594.5670997261367
0.18489470099792268,0.28891275972006863,1367.0954315226422,717.0874267859269,743.2561196028397
0.011286107053491099,0.5652608149197819,-103.17995811813012,634.4529786262896,663.886935976586
0.005872283605931762,0.008180144858560548,-377.0312971112137,626.6948829084495,656.4767763875915
0.03846644850676005,0.8520298564410076,-67.53763859902074,676.0503733487352,703.7466795499449
0.015391068282167386,0.22087788253572,-300.30457223077065,869.6851030563712,891.385135702172
1.0,0.9655594663654112,7325.954041481848,989.8185185321485,1008.9380463149289
0.03544080172068697,0.6725652697813542,-212.05138153665712,570.8381262976328,603.3833342971951
0.020678231151098025,0.18933322764062702,-355.87368704625464,847.2934492097297,869.5524542811258
0.2896014414467661,0.014752747009052486,1791.1838126936786,450.0935568301731,490.71324780633836
0.0712536974002992,0.5995947930281725,318.98128437847527,813.8584922415098,837.0071248598975
0.016334860816411122,0.09866947039820505,-499.8171793119984,627.5649916787385,657.3074626484502
0.8964846136458763,0.5908456575800493,9053.872419158948,232.01691410439003,303.39269948885135
0.13879628786683829,0.10686242138640581,-31.472800750139413,763.43233173656,788.0635804383612
0.760831466583413,0.037689016790758346,1717.6011199636346,1042.6765567466614,1060.843854514736
0.019905397045703762,0.5815373301363091,-257.1140520750789,544.4477962689373,578.4796319099842
0.04318696008579227,0.0905246568820342,-159.17815778601675,723.4617320913701,749.4078725722421
