TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.005733789058747988,0.2481227244266772,-262.8883099989389,277.32899550478106,280.28959593866705
0.0657457440671993,0.012807983229613601,-248.84902140773423,271.3859058391959,274.41063341629325
0.006091013802359263,0.03000321618916037,-219.42932007109357,267.5222126635873,270.5901330651064
0.011355760610719436,0.004999999999999999,-285.8760183419185,281.42840164337525,284.3463224578706
0.23631011393775922,0.015643999876763154,23.84195404285316,210.2382060427315,214.12844071686595
0.1831094428727357,0.2752890985267179,-190.80927766687708,261.4094079742576,264.5482270233959
0.1745158280975894,0.004999999999999999,-259.8596731990013,276.77518864793626,279.74165026837005
0.015340208396702602,0.18602936944471907,-281.6655500436937,280.32325838227365,283.25256403751285
0.06407944727943561,0.006443921920283451,-269.4990964962086,278.77540152629484,281.7208021071878
0.05386819814455692,0.030158725818663308,-230.75684317587087,269.1523489184233,272.2018970765543
0.17180811628657713,0.006027580474564135,-260.71722566718046,277.050673045888,280.0142162086595
0.006679086567313435,0.031011592757105445,-231.76070898434915,272.84538016049476,275.8541051329403
0.06698386268462632,0.2851429196612495,-258.2638750607504,276.94351693192556,279.90819461815346
0.013294966455046135,0.019373693697193346,-153.9050029196871,254.57997560590027,257.80195853265184
0.4244004177219866,0.25509515354824186,-172.93059975769387,259.02607405501357,262.1934264700847
0.22704379462639773,0.01648873467529579,54.34097297801384,193.41478279667237,197.63644412925038
1.0,0.09793161336833703,-167.19194580342656,251.19247730437107,254.45735693447207
0.6775870425400591,0.007374773139015144,-195.71404984483988,266.9018826359354,269.9768523380792
0.2546017812062897,0.42215505620968957,-175.48722087392918,259.83068276721343,262.98834489582737
0.048304043348801284,0.2829809662902601,-256.11471600388614,275.99451754458266,278.9692806716132
0.007593940192561914,0.1741914001511036,-260.6007969973951,276.6197801953392,279.58789072327176
0.010613670952382194,0.019757945891274633,-155.6380781365022,254.76403206157903,257.98371630016425
0.23212719424896047,0.09724702472017199,-201.08299301105728,263.4179208723292,266.53308777799253
0.2019888443784124,0.0757642035979803,-206.05590908353213,265.8614379112922,268.9483036050428
0.05700433008857508,0.012116320300119308,-247.3414049463396,270.2666753482314,273.3037900351121
0.5872018513097275,0.0069224348398904565,-146.54873069230965,244.29255114578442,247.64841285396128
0.010837134665963208,0.021269831311739353,-166.63137528983486,260.1995665932313,263.3528057550854
0.07926208460492606,0.07476205491813812,-216.23112777897526,268.4989665969496,271.55585227978463
0.23350700620556344,0.017204655504810127,51.04712258075676,195.75139771945,199.92372433727982
0.24953093389451916,0.016744487943468778,22.91133166724717,210.6510374526081,214.53378620541443
0.1869419247703811,0.08770986721417288,-207.25766897741158,266.5048475124516,269.5843459687625
0.057212591955907464,0.26823478748910246,-253.98590040582997,275.2971148168441,278.2793331712742
