tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,feso4,peg20k,peg200k,model,acq,pred_mean,pred_sigma,active_count
2.0,0.001,1.1849386438521448,0.08773365859688771,0.03359313904141384,0.350894131722261,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.875304299900566,202791.97916760467,12082.621036695962,4
2.0,0.001,2.0,0.08502163245217122,0.013567493754195309,0.3567141678553237,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.816381612935155,199771.26874326373,12543.907322699715,4
2.0,0.001,1.673426391477773,0.09255361663252969,0.6327544131418085,0.36573052323322697,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.789588354073283,198455.7863630065,12774.823154179114,4
2.0,0.001,0.0,0.08904100649432559,0.033667464804332026,0.3568320434070947,0.0037029055441949207,0.0,0.0,0.0,0.0,new_additive_set,10.785467234224223,198251.7202670575,11883.186228607654,4
2.0,0.001,0.0,0.0842842725844823,0.0332178614434575,0.35152630256455525,0.0,0.043419423475156954,0.0,0.0,0.0,new_additive_set,10.73550993478886,195903.69504038125,12712.49096699145,4
2.0,0.001,0.001,0.09438822596100732,0.03342715009555277,0.36441451842302447,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.68263851502977,193544.7537464152,14045.810796858177,4
2.0,0.001,1.2839843598905896,0.0,0.033090233477444705,0.3506345838698408,0.0037062427198487034,0.0,0.0,0.0,0.0,new_additive_set,10.674253403638192,193165.00190647217,11853.054372651439,4
2.0,0.0019548034734022473,0.0,0.08211133061977892,0.03369009735185401,0.3565999190273209,0.001,0.0,0.0,0.0,0.0,new_additive_set,10.661425587251747,192615.73973650608,11904.641990388855,4
2.0,0.001,0.0,0.09303369649031971,0.8019272253214992,0.35782083229584905,0.0,0.04379321420746978,0.0,0.0,0.0,new_additive_set,10.639533123457722,191701.98125852918,13240.651063817255,4
0.001,0.001,0.7563072854042943,0.08156651347388129,0.02949804968866223,0.3493502792592819,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.620789245482966,190930.0001212252,14027.118257853615,4
2.0,0.001,1.5444998610679266,0.0,0.030928819153638678,0.32956208995892744,0.0,0.0,2.0,0.0,0.0,new_additive_set,10.61975058875357,190875.7433427152,12342.750598534758,4
2.0,0.001,1.832475038420935,0.0,0.03455812407019853,0.3641736990707766,0.0,0.046364748109461944,0.0,0.0,0.0,new_additive_set,10.615161368805408,190692.3838015932,12878.31902866366,4
2.0,0.009727997272730155,0.0,0.08404686268379745,0.03273144527548567,0.34922057432371395,0.0035925982439749503,0.0,0.0,0.0,0.0,new_additive_set,10.600068814532905,190058.11718926392,9570.419444374695,4
