HRP,nu,ls_TMB,ls_H2O2,condition_loo_z_mean,condition_loo_z_std,condition_loo_abs_z_gt_2_pct,condition_loo_abs_z_gt_3_pct,condition_loo_mae,condition_loo_max_abs_error
1,0.5,0.5154197844124818,0.41144661639538893,0.08736184261822125,1.3245203103655951,6.25,3.125,819.3567181568358,7313.746757125899
1,1.5,0.3643848391056132,0.22324423321009848,0.0747615307597419,1.5040972003249136,12.5,6.25,864.4887511564882,7058.356433582311
1,2.5,0.3198540749516305,0.18355692802014398,0.06138615435485867,1.6205200513833768,15.625,9.375,921.0652255642425,6996.377558643241
0.01,0.5,0.7387502806099899,0.8465693714351878,0.02755932407283368,0.985959251598682,3.125,3.125,657.0214894373831,3916.0923187937706
0.01,1.5,0.45373347388007024,0.3852730822304653,0.048228853030230834,1.458920833046011,12.5,9.375,704.0190767634771,3174.2454611120074
0.01,2.5,0.3754065801255305,0.2628185765763535,0.0632022628975975,1.8773858712601856,15.625,12.5,771.3977254183515,3448.167795788666
0.0001,0.5,0.12188972166047275,0.11882444273583019,0.030384560241085018,1.325122452387902,12.5,3.125,265.4659817567732,1400.1997354746732
0.0001,1.5,0.0831492336644035,0.10758743099337593,0.025587420799697058,1.3857218323541742,12.5,6.25,278.08496090763714,1400.4207614148797
0.0001,2.5,0.07426896715447445,0.10632047416710917,0.032732505231908904,1.380711086576706,9.375,6.25,278.89307879536784,1386.8755121464144
