sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
single additive,"[1,7]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,22.32142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14436829,1,,1.248734861
single additive,"[4,18]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81346314,0,0,0,14.76052644,1,,1.24830609
single additive,"[1,2]",0.375,0.0015,1.857142857,0,0,44.64285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26024426,1,,1.247530663
single additive,"[5,12]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,1.162090201,0,0,0,0,0,0,0,0,0,9.414954617,1,,1.24608887
H2O2,"[0,14]",0.375,5.47E-05,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156749677,1,,1.245947373
HRP,"[12,15]",0.006614467,0.0015,0.023398114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.245824552
H2O2,"[2,2]",0.191326531,0.00309949,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.245316543
single additive,"[8,8]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0.42350226,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55185273,1,,1.244783809
single additive,"[1,1]",0.375,0.0015,1.857142857,0,4.464285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43309168,1,,1.244725661
HRP,"[5,1]",0.069725412,0.0015,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.331930152,1,,1.242833048
single additive,"[14,17]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005624547,0,0,0,0,15.0203837,1,,1.241319042
single additive,"[5,18]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5810451,0,0,0,14.89559634,1,,1.241155752
single additive,"[2,1]",0.375,0.0015,1.857142857,0,3.18877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69550822,1,,1.239641667
single additive,"[5,0]",0.375,0.0015,1.857142857,5.810451003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56300566,1,,1.237570477
single additive,"[10,17]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021607258,0,0,0,0,16.00157683,1,,1.237320828
single additive,"[7,7]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,2.964515818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77020318,1,,1.235009077
single additive,"[4,0]",0.375,0.0015,1.857142857,8.134631404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19157982,1,,1.234904244
single additive,"[8,18]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21175113,0,0,0,15.08975012,1,,1.234755679
HRP,"[8,11]",0.025410136,0.0015,0.089886194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320037004,1,,1.234261227
HRP,"[4,5]",0.097615577,0.0015,0.676801333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.863144977,1,,1.234224701
HRP,"[14,10]",0.003374728,0.0015,0.125840671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027893359,1,,1.233819645
single additive,"[6,0]",0.375,0.0015,1.857142857,4.150322145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24138708,1,,1.233322894
single additive,"[12,1]",0.375,0.0015,1.857142857,0,0.110241113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3283182,1,,1.232455953
