metric,old_hamming,addset_no_residual,addset_with_residual,famt_family_aware,mod_family_aware,addset_per_additive
mll,-0.5958555025189316,-0.23698197422503298,-0.2315981953277277,-0.5459744853652996,-0.07212937386510361,-0.1565109504920296
train_rmse,2907.6847878332055,2030.0049599307645,1997.8113947583247,6791.25935935763,5724.2454103015725,1605.5067450937252
train_mae,2126.964897064513,1409.9596865372366,1378.640271288584,4932.723409992742,4251.260079397327,1123.1313287700755
train_r2,0.9877199164426148,0.9940144939897461,0.9942028352222243,0.9330104120772816,0.9524069911050292,0.9962560422243797
train_z_std,0.6157826969465178,0.5065674056092103,0.5040254608056021,0.9478692948036831,0.9538628945766199,0.5007566299135362
train_frac_abs_z_gt_2,0.013452914798206279,0.004484304932735426,0.004484304932735426,0.0515695067264574,0.042600896860986545,0.006726457399103139
train_frac_abs_z_gt_3,0.0,0.0,0.0,0.011210762331838564,0.008968609865470852,0.0
loo_rmse_model_space,0.33141732633349624,0.27329731109309485,0.2704256917056575,0.28689279508121845,0.23214399272695527,0.2706420173935597
loo_mae_model_space,0.23079945188654571,0.19816671804129216,0.19680949958635707,0.20544887305066012,0.17295327191731993,0.1933285706013344
loo_z_std,1.035893462966109,0.984953392796485,0.9813973475987954,1.0145139698613983,1.013266026195525,1.0010119467196466
loo_frac_abs_z_gt_2,0.06053811659192825,0.05829596412556054,0.053811659192825115,0.053811659192825115,0.04484304932735426,0.05605381165919283
loo_frac_abs_z_gt_3,0.006726457399103139,0.006726457399103139,0.008968609865470852,0.02242152466367713,0.013452914798206279,0.002242152466367713
noise_standardized,0.024644567934064224,0.016406168353181615,0.016036774479258838,0.07052704017235131,0.04935619918392535,0.010987413876316502
eig_min,0.024644567934062375,0.016406168353181275,0.01603677447925841,0.07052704017234941,0.049356199183923664,0.010987413876315974
eig_max,853.0817834811744,127.25122130177947,150.77153671476154,427.8141422347169,279.31650564849855,180.00824921162234
condition_number,34615.408383852875,7756.303517213666,9401.612332315699,6065.959115670421,5659.198039290629,16383.13175765963
acq_value_mean,-47.14335050964538,-61.84420033026297,-61.71219303006349,-65.61169067945147,-59.990048355526866,-58.01090116410073
acq_per_point_std_mean,2.8376979221676213,3.5627189928151166,3.2768184028372813,1.0680163796933,3.3282418978752166,4.153503614342327
acq_spearman_mean,0.9995597494735697,0.9894261731669356,0.9897746292100112,0.9988983767924378,0.9914309174763393,0.988969578984562
acq_spearman_min,0.9990945721896063,0.9714230997013081,0.9705180295201472,0.9971331546617687,0.9762713898044197,0.9674668263123563
acq_top25_jaccard_mean,0.9692307692307693,0.8425975046664702,0.8978225478225477,0.7971882284382286,0.8712012125805229,0.9692307692307693
acq_top25_jaccard_min,0.9230769230769231,0.7241379310344828,0.7857142857142857,0.5151515151515151,0.7241379310344828,0.9230769230769231
