TMB,H2O2,mean,median,sd,count,var,sem_var_raw,sem_var_shrunk,sem_sd_raw,sem_sd_shrunk
0.005231374,0.225555818,157.2798223350258,155.24860406091426,59.06878295858449,4,3489.121120208362,872.2802800520905,24823.199395643653,29.534391479292246,157.55379841706025
0.006134832,0.02128919,-232.25545685279127,-244.730710659898,65.88581643501477,4,4340.940807308463,1085.2352018271158,24929.676856531165,32.94290821750739,157.8913450969722
0.008075417,0.022905527,266.0705583756349,255.34289340101554,57.6463655732204,4,3323.1034638013703,830.7758659503426,24802.44718859278,28.8231827866102,157.48792712012175
0.008407468,0.085871073,87.70019035533026,85.60888324873136,22.256478747873043,4,495.3508462545244,194.74802623810857,24484.433268736662,13.955215019415093,156.47502442478373
0.009894022,0.02895275,488.0990482233507,490.6624365482234,39.201262177573966,4,1536.738956314891,384.18473907872277,24579.15162515697,19.600631088786983,156.77739513449308
0.012949862,0.273409457,139.88705583756357,138.4115482233502,10.687129442194585,4,114.21473571422236,194.74802623810857,24484.433268736662,13.955215019415093,156.47502442478373
0.015814747,0.13384248,588.8258883248736,598.6758883248735,36.21109365928672,4,1311.2433040016347,327.81082600040867,24550.964668617813,18.10554682964336,156.68747451094427
0.016129301,0.80340095,-35.53730964466981,-28.74949238578659,79.81319219547622,4,6370.145648432026,1592.5364121080065,25183.32746167161,39.90659609773811,158.69255641545263
0.01947061,0.006572934,222.93407360406138,223.10888324873156,60.625660968950676,4,3675.470767922149,918.8676919805373,24846.493101607877,30.312830484475338,157.62770410561677
0.023732153,0.005843876,207.31878172588875,185.16725888324913,119.01376641876828,4,14164.276597181137,3541.069149295284,26157.59383026525,59.50688320938414,161.73309441875293
0.029451678,0.527671479,-395.56459390862915,-426.37284263959344,98.31553005302845,4,9665.943449607941,2416.4858624019853,25595.3021868186,49.15776502651423,159.9853186602402
0.031271982,0.157239723,414.39847715736107,412.45088832487386,15.35416929092247,4,235.75051461430664,194.74802623810857,24484.433268736662,13.955215019415093,156.47502442478373
0.037493001,0.32625971,574.4960025380717,577.38921319797,59.899184123697935,4,3587.912258684667,896.9780646711667,24835.548287953192,29.949592061848968,157.59298299084637
0.043358882,0.010798904,572.2064720812189,594.5597715736044,130.58161669550825,4,17051.558618812636,4262.889654703159,26518.50408296919,65.29080834775412,162.84503088202965
0.051799179,0.205484926,403.9907360406094,407.51649746192936,57.3886492652602,4,3293.45706449105,823.3642661227625,24798.74138867899,28.6943246326301,157.4761613345937
0.06141945,0.007091213,1673.0743654822345,1452.5889593908641,526.5730380686414,4,277279.1644208388,69319.7911052097,59046.954808222465,263.2865190343207,242.99579175002694
0.082327229,0.444502519,1280.20247461929,1300.1670050761425,130.366435867965,4,16995.407600916235,4248.851900229059,26511.485205732137,65.1832179339825,162.82347866856344
0.094825338,0.06882258,453.67468274111695,459.05748730964467,43.17900926075449,4,1864.4268407403222,466.10671018508054,24620.112610710148,21.589504630377245,156.90797497485636
0.109625912,0.033106069,1417.0434644670058,1464.7565989847722,151.2210251120718,4,22867.79843594585,5716.949608986462,27245.53406011084,75.6105125560359,165.0622126960342
0.119372969,0.016720755,2153.563705583757,2145.373477157362,333.18500343476467,4,111012.24651382414,27753.061628456035,38263.590069845624,166.59250171738233,195.61081276311293
0.153269672,0.105170815,3550.4520304568537,3481.465101522843,411.54036565677507,4,169365.47256491214,42341.368141228035,45557.743326231626,205.77018282838753,213.44259960521381
0.182381371,0.015524416,1643.2295050761431,1713.1062182741125,469.83791384013676,4,220747.66528165177,55186.91632041294,51980.517415824084,234.91895692006838,227.99236262608466
0.194714374,0.011891,3389.7951142131988,3447.540355329951,673.3254315213874,4,453367.1367334625,113341.78418336563,81057.95134730042,336.6627157606937,284.70678135109534
0.235548191,0.910447631,547.1165609137062,540.7884517766504,74.71187606958205,4,5581.864425836587,1395.4661064591467,25084.792308847183,37.35593803479102,158.38179285778773
0.288325285,0.179584257,2530.5883883248744,2566.5378172588844,509.38656939405496,4,259474.67707904437,64868.66926976109,56821.393890498155,254.69328469702748,238.37238491590873
0.31965575,0.05581169,5206.825317258885,5333.448730964468,1195.7424593150106,4,1429800.0290087098,357450.00725217746,203112.06288170634,597.8712296575053,450.67955676035086
0.384083139,0.04211519,4834.252093908631,4750.46573604061,1393.7795025128396,4,1942621.3016249386,485655.32540623465,267214.7219587349,696.8897512564198,516.9281593787815
0.505029696,0.074037126,962.6416243654827,951.5434010152287,184.68180306378912,4,34107.368382892186,8526.842095723046,28650.480303479133,92.34090153189456,169.26452759949183
0.52872234,0.043204617,4552.4067893401025,4663.595431472083,258.8749794316782,4,67016.2549757518,16754.06374393795,32764.091127586584,129.4374897158391,181.0085388250692
0.679040714,0.375114301,6308.496510152285,6242.115482233501,632.7318663145431,4,400349.61464988487,100087.40366247122,74430.76108685322,316.36593315727157,272.82001592048414
0.791226918,0.71186704,4883.760025380711,4960.064720812184,777.5230542925605,4,604542.0999564319,151135.52498910797,99954.8217501716,388.76152714628023,316.15632486188156
0.945443499,0.00874809,7996.273794416245,8047.101903553301,391.71343197416184,4,153439.4127889763,38359.853197244076,43566.98585423965,195.85671598708092,208.727060665932
