tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,feso4,mgso4,paa,model,acq,pred_mean,pred_sigma,active_count
2.0,0.00400129424513774,0.826393061269608,0.07440182700381118,0.03305247703740753,0.34728623584539686,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.85403120713168,201896.7264688406,12494.70161914964,4
2.0,0.005509300822323521,1.7443954045982388,0.0928264251204785,0.03319690315069728,0.34772743993377114,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.82182954974766,200260.72035846463,12915.127339357023,4
2.0,0.0014414271387409923,0.3451007012793717,0.08862086033341428,0.033801754079916466,0.3576713882354583,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.782767143777763,198349.1604910202,13969.933968963862,4
2.0,0.003827728304698443,0.0,0.06935661925197638,0.033262758583488025,0.3405805478734464,0.0030206284000399977,0.0,0.0,0.0,0.0,new_additive_set,10.764688423233173,197476.50606406774,12315.986546544522,4
2.0,0.018136642281946974,0.5403965869501995,0.06194263803692538,0.0325306397695321,0.36430765197902876,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.75912845033841,197208.2915805707,12026.194202164454,4
2.0,0.001,2.0,0.2333794450788493,0.03498183493066163,0.35923970512592834,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.67726555582574,193472.80175542604,15609.548551094622,4
2.0,0.0035934763169047767,0.0,0.07677792859763422,0.03346922450030515,0.35000700263743295,0.0,0.032974794349757315,0.0,0.0,0.0,new_additive_set,10.668720605469861,193156.44951516832,13636.485177365072,4
0.16673255933918524,0.001210800133725499,2.0,0.032881029418023705,0.02134455362518147,0.34258650991497686,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.659812002595762,192780.34792671428,14671.487075019535,4
0.05816998246537206,0.001,0.9625352332162765,0.08255204840431771,0.08856439879814436,0.33367989038168305,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.649697126005481,192278.49466501304,15385.897223866034,4
2.0,0.003209833872135941,1.0480017083670974,0.0,0.03263228636067114,0.33092101054914963,0.002563710258208523,0.0,0.0,0.0,0.0,new_additive_set,10.634734220567319,191709.84195181285,12543.799434623672,4
0.6953096551396053,0.005373370155935721,0.13814326749579217,0.15993193852114412,0.07651715117886902,0.3515876170414092,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.630367670968552,191535.5613506632,13531.04071229194,4
2.0,0.005273621610793015,1.3119898604161655,0.27390960454906643,0.16904905081472815,0.345818950393567,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.61940158545759,191075.53675246914,14090.997390214401,4
2.0,0.0013762921907966375,0.4894269129412543,0.7950982206002675,0.05313101005799786,0.3238158957558984,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.592014568893118,189858.9758869153,14909.360444120803,4
0.5658604565706172,0.001,0.0,0.07287803859978113,0.043605345206329006,0.3407805912555757,0.001,0.0,0.0,0.0,0.0,new_additive_set,10.58599163130298,189608.3592779962,15558.694802247106,4
1.4594613227943225,0.004715875850714672,1.4424791782998756,1.9033487352113148,0.03820394444198478,0.34639098977359045,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.574463593951235,189226.27767222267,13893.16281003697,4
2.0,0.0182050880123617,0.0,0.08947439254455114,0.03338117842786596,0.3455544001949923,0.001,0.0,0.0,0.0,0.0,new_additive_set,10.56627785998526,188968.4037143122,13633.805366972672,4
2.0,0.003472404859963842,0.0,0.0690247744652375,0.08307168875288855,0.330639759653718,0.0,0.0,0.0,0.0073823531886570894,0.0,new_additive_set,10.549494607878476,188321.39928084548,13180.406661562713,4
2.0,0.019513052516551055,0.0,0.06613854744895883,0.01730392634807103,0.35430066422032575,0.0,0.03256182820442601,0.0,0.0,0.0,new_additive_set,10.515506620433133,187002.64027826625,13434.39024484337,4
0.001,0.0066261481814461716,0.5914022718843762,0.04801282720700203,0.029599630316905563,0.3379469427299882,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.506509334662391,186526.81308283284,14746.011678783138,4
2.0,0.001,0.6985741030527552,0.0,0.03302306901900288,0.35559217470528154,0.0,0.0,2.0,0.0,0.0,new_additive_set,10.476415959574867,185342.7692986701,14878.126142863868,4
2.0,0.0016582558690689342,2.0,0.0,0.06706098073389719,0.34122559069079167,0.0,0.049953137560459916,0.0,0.0,0.0,new_additive_set,10.445487933103605,184200.0024832148,15273.380224398876,4
2.0,0.001,0.0,0.15983129919719963,0.6526067713810824,0.336853692411367,0.0036055518204969428,0.0,0.0,0.0,0.0,new_additive_set,10.434970294608048,183839.95109008194,15816.425838285777,4
