model,fit_seconds,mll,train_rmse,train_mae,train_r2,train_z_mean,train_z_std,train_frac_abs_z_gt_2,train_frac_abs_z_gt_3,target_std,kernel_diag_min,kernel_diag_max,noise_standardized,eig_min,eig_max,condition_number,loo_rmse_model_space,loo_mae_model_space,loo_z_mean,loo_z_std,loo_frac_abs_z_gt_2,loo_frac_abs_z_gt_3,loo_cholesky_jitter,scale_ess,scale_set,scale_main,scale_pair,conc_lengthscale,scale_residual,acq_pool_size,acq_mc_samples,acq_repeats,acq_value_mean,acq_value_std,acq_per_point_std_mean,acq_spearman_mean,acq_spearman_min,acq_top25_jaccard_mean,acq_top25_jaccard_min,acq_finite_fraction
with_residual,5.703926086425781,-0.2315981953277277,1997.8113947583247,1378.640271288584,0.9942028352222243,-0.001365221804103339,0.5040254608056021,0.004484304932735426,0.0,26268.428212169514,0.5532170056525578,0.8218779319637696,0.016036774479258838,0.01603677447925841,150.77153671476154,9401.612332315699,0.2704256917056575,0.19680949958635707,0.013729941119122676,0.9813973475987954,0.053811659192825115,0.008968609865470852,0.0,0.325561840415909,0.20737572426318607,0.12459936008535456,0.019462206140502643,0.21452867490848399,0.02027944097346275,512,64,5,-61.71219303006349,17.08599313211564,3.2768184028372813,0.9897746292100112,0.9705180295201472,0.8978225478225477,0.7857142857142857,1.0
no_residual,5.884406089782715,-0.23698197422503298,2030.0049599307645,1409.9596865372366,0.9940144939897461,-0.001551825604297943,0.5065674056092103,0.004484304932735426,0.0,26268.428212169514,0.5370438465882297,0.780341808906075,0.016406168353181615,0.016406168353181275,127.25122130177947,7756.303517213666,0.27329731109309485,0.19816671804129216,0.013692564707456374,0.984953392796485,0.05829596412556054,0.006726457399103139,0.0,0.269703075976294,0.26734077061193573,0.11270544514535193,0.01788707202714147,0.20358049026950414,,512,64,5,-61.84420033026297,16.74950278997571,3.5627189928151166,0.9894261731669356,0.9714230997013081,0.8425975046664702,0.7241379310344828,1.0
