0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
920713.7496083911,228192.90867285378,704933.1102499872,100302.72293206042,796518.1381433677,-82570.15232372102,-50245.33730939412,560052.1961042496,344414.5304445225,857136.307388162,399741.4736152912,-118848.58299276991,897533.6095234763,-62343.251477415695,727726.016975926,-146631.49097301718,-127622.43162297054,625481.6482130301,-97103.64074595805,83933.567735508,505941.9419814673,535928.7299560746,-181717.3155903379,-222682.34195867972,-4421.2531928130265,461047.01845889445,218935.0868716129,-47853.88097876009,-150296.74520561175,23499.703460363202,216132.95061288416,892605.4809767455
228192.90867285378,262236.74669072754,157059.69589949856,-151554.81527305546,207883.15720781585,-13620.994077091482,106008.93299101012,281835.28927245724,69680.19050004554,201971.78482829974,19984.126162510187,-21205.37139155318,233346.63815074752,-10089.776529382849,245588.36414166776,-157084.33570322947,-24135.89348387151,137977.0670504381,-16463.539089949223,209285.05838501654,258486.2619417928,113850.50688428777,-73569.97234147554,-124165.12910086702,-2412.169813653727,263138.42483926594,-83774.50826280133,-7877.936989744876,-6025.297989737495,172542.87321988182,216687.34249761264,214587.5924178026
704933.1102499872,157059.69589949856,682201.6419544279,41238.13482866993,536198.0484884608,-112932.69232113665,-32732.0909869417,402106.97997552686,382325.7693149592,730011.2976014541,241382.02058869106,-152879.56243728576,638698.2358432076,-87431.45626128331,578968.6090676318,-106150.09975109725,-156669.71908345935,401046.0049662627,-129896.14579912364,57442.445051700975,343011.95762634097,561548.1629181936,-120241.89483671174,-146862.8998031816,-4216.199655664425,357740.3776757861,119537.2335862225,-67839.68248020535,-97677.07876123508,16384.49354706137,142772.75012005545,726140.9148480872
100302.72293206042,-151554.81527305546,41238.13482866993,1575927.8789859726,249653.98846303122,1187.9177370096268,-130650.43723617661,-61080.393095595464,16252.91023987152,65641.04779537614,769265.0611714664,-641.9087982525172,154536.89321190916,1662.0707888785448,-15972.30961982155,907639.1427855626,-2267.684499173707,426101.98260375136,632.2876543410349,-172775.56858929002,-13010.27034158439,27302.958246977705,256782.43938519948,452006.51153250627,1585.3891646878803,-102964.46358540772,1203012.3123072912,1821.762496496334,22187.411178780832,-169590.04905813554,-97174.86894705685,77735.6793934315
796518.1381433677,207883.15720781585,536198.0484884608,249653.98846303122,863718.8251623366,-48938.031203155406,-75782.3343652229,515219.53253190854,246799.8614075624,689012.2838900248,558129.499887222,-75281.26709975203,861356.1067488779,-35804.52041260088,598125.475302764,-99465.76576485069,-84485.19482212662,759816.8204725735,-59026.8911823681,59725.461109592216,517234.56087612687,394269.53016721545,-191722.602254864,-230518.1230057914,-3051.01226211149,380804.33311331924,375627.9264623253,-27025.458015127584,-174983.9925502069,-3009.696055333401,218908.15907731184,736436.6429059356
-82570.15232371981,-13620.994077091482,-112932.69232113665,1187.9177370096268,-48938.031203155406,1019326.489172965,4994.820138321427,-47913.60342955681,-105456.34792171561,-98788.10302518368,-15622.56649842678,727722.8714493193,-66034.42741626009,965796.1680695988,-83721.95811717963,8190.298980611931,398502.38600372523,-31875.393925404398,948819.1421607021,-1500.2715941624313,-35158.59546595504,-116693.45251873463,8299.57363141524,9189.274652711907,-31075.299718163977,-52293.16977118103,-4982.750761823062,817072.6618232846,7086.499458796281,3345.623400592114,-12091.590381185508,-92449.10398179278
-50245.33730939412,106008.93299101012,-32732.0909869417,-130650.43723617661,-75782.3343652229,4994.820138321427,214522.1097507196,18227.597839105754,-16423.903866539873,-41629.901727903634,-120483.42539096097,6646.965313865048,-60734.46973036329,3851.280837142489,-13021.464817888134,2782.4424845529365,6664.735600701788,-96992.79850123775,5722.52205899018,164740.1849063296,8928.720317498259,-24964.207762037582,136133.99652407842,116227.91584116044,-36.31643820204924,36597.64675841004,-130601.88840858289,2942.997696400923,198478.57287266606,189209.8755580603,81609.49414091132,-44949.45099012972
560052.1961042496,281835.28927245724,402106.9799755281,-61080.393095595464,515219.53253190854,-47913.60342955681,18227.597839105754,498424.3846235209,188143.2822651583,504078.84562186594,199863.592883218,-67415.91396892918,568345.3995177958,-36753.96076165171,524468.2726737396,-181766.09259437132,-71483.85257495918,389235.9785174696,-55821.86787738466,157935.39631528943,444985.2042757787,298900.62619586743,-153095.00215393238,-203378.4136232216,-4112.353115725796,434307.40759455645,41934.20412308665,-28672.435251188563,-99887.44606110979,99719.79900444126,246498.60791138888,531532.2545115397
344414.5304445225,69680.19050004554,382325.7693149592,16252.91023987152,246799.8614075624,-105456.34792171561,-16423.903866539873,188143.2822651583,282370.08277323056,374382.7264063384,106451.88840791877,-136038.36076002155,301830.3739025865,-83094.32603557338,286749.66725949553,-47969.83910302783,-133485.2245260988,180614.7901430698,-119295.27416205239,23498.701011144083,156161.9490655551,356382.8020943136,-53641.83540129808,-64934.91739425401,-2384.0723624147627,173857.03546398797,51308.37029974497,-64906.230838833835,-43927.38813243182,4709.8410671719275,62663.44043285523,364332.434137912
857136.307388162,201971.78482829974,730011.2976014541,65641.04779537614,689012.2838900248,-98788.10302518368,-41629.901727903634,504078.84562186594,374382.7264063384,845611.0962644086,324733.52224855276,-138008.83876979564,801156.8787762331,-75532.90313980175,692328.0153864647,-133906.6983048938,-144981.50654246032,526286.9026691971,-114913.06200904603,75231.50959000358,440958.4432041319,570496.5649337764,-156459.12726403135,-191698.83991551897,-4563.717393934333,432820.5563567707,167569.4010345872,-58305.88100326195,-127595.97830479854,22548.524048809133,186616.28996916776,860229.5084361881
