TMB,H2O2,latent_mean,latent_std,default_observation_std,training_target
0.005002310000000002,0.028972289999999994,254.6944923602464,117.8031044284737,203.39749600808105,251.81148477157396
0.006288306999999997,0.463269462,153.72901734214884,117.31659145631063,203.1161062060278,153.2360406091373
0.008094047999999996,0.006170613000000003,246.52075368952637,117.3548746385886,203.13822035946438,244.7448604060918
0.008651561000000002,0.21146872200000003,203.0751690708994,116.58326205860364,202.6934309779094,189.52062182741136
0.010044027999999998,0.11244290299999998,985.1616830539851,132.70704362317852,212.37732787794386,1004.2813451776651
0.012458853,0.015984476,7.177113662085503,116.21610361620213,202.4824750666173,3.0967639593910006
0.015713720000000004,0.845092713,618.8701259886082,118.71479827147097,203.92688223480374,621.0360406091376
0.017105287999999996,0.06686313800000002,838.6919491635051,139.90554108061255,216.9482205375984,846.3781091370564
0.020795743999999998,0.011653397,238.89081844101474,116.21702740645375,202.48300528331728,245.57684010152326
0.024487907999999996,0.281758477,472.8237338750746,119.29496792096903,204.26516918122996,468.91567258883276
0.027946511,0.044505039,141.27392734950308,115.8201063262474,202.25544986178917,122.85729695431472
0.032550738999999995,0.08944772700000002,764.4588939457915,134.08690559200656,213.24227587561325,777.6807741116756
0.038996802000000004,0.009138411000000003,189.11982115964202,119.43634736113206,204.34776984430357,184.6674492385788
0.044999029999999995,0.697516883,872.9331223113709,117.85160560781974,203.42559060676845,871.5354060913712
0.05667722599999999,0.022595646000000004,323.7415353811364,115.95584505761734,202.33321025575023,332.64549492385817
0.06057878499999999,0.247940945,691.5457672529844,117.66102724688957,203.31524119496,690.5760786802034
0.07649189799999999,0.03288854200000001,403.60425608559854,115.98817939132711,202.35174258672976,407.16192893401046
0.09780320499999999,0.374305006,1619.2704169266708,119.60444295064008,204.4460631631345,1624.1032994923864
0.100503468,0.005755339999999999,352.7465642393354,170.32229802686695,237.70287161606683,360.88807106599
0.130485518,0.158520005,426.79880070096806,122.84382143533819,206.35787950599007,418.374555837564
0.155752887,0.059406930000000004,498.1184666369518,119.34729328602151,204.2957326624105,523.6424492385789
0.165523384,0.013698929,-164.41246058765455,119.40032769365644,204.3267193069081,-196.55044416243646
0.201656673,0.994454588,4652.8903228076915,118.12742672437044,203.58550762245574,4639.342956852793
0.246808359,0.12168402199999999,1325.8764913007503,128.6698529206902,209.87830049817802,1257.741814720813
0.274264573,0.011436917999999999,2763.524290407373,136.57933580458052,214.81826025315408,2775.017005076143
0.32129454,0.354125558,8092.11330368244,204.8009932587454,263.50790654008875,8231.405139593911
0.38176695,0.021326633999999997,4609.3803939756235,296.0408708314561,339.31278663206655,4664.982994923857
0.47128184100000003,0.189110945,8123.168997659281,303.1156495668343,345.5026294859351,8193.042703045687
0.595064481,0.037487833,6988.348094136607,230.89829715240433,284.2657094994953,6975.503743654824
0.691594231,0.556344097,10022.684428541635,279.8918060908704,325.3189098195505,9994.111992385788
0.762589268,0.007805179999999997,8261.155196850801,262.7815671660918,310.7203276447144,8296.685088832488
0.99532202,0.07911293000000001,10025.093675365406,127.41831770742124,209.11336078013,10034.767956852795
