TMB,H2O2,latent_mean,latent_std,default_observation_std,training_target
0.005002310000000002,0.028972289999999994,257.46861516404533,253.8310770585009,439.8309808461886,251.81148477157396
0.006288306999999997,0.463269462,158.58712963165635,253.7582912699782,439.7889794204725,153.2360406091373
0.008094047999999996,0.006170613000000003,252.92504181551885,254.03247954887723,439.9472430839775,244.7448604060918
0.008651561000000002,0.21146872200000003,198.40871217220138,253.13987940693448,439.4324459773072,189.52062182741136
0.010044027999999998,0.11244290299999998,1006.016164787764,261.27589369017227,444.16907665329416,1004.2813451776651
0.012458853,0.015984476,10.13054776910667,252.2850628476157,438.9405756676718,3.0967639593910006
0.015713720000000004,0.845092713,624.0952713822508,253.52016719748843,439.65162482047555,621.0360406091376
0.017105287999999996,0.06686313800000002,851.3777561925144,263.669903623395,445.58152352651706,846.3781091370564
0.020795743999999998,0.011653397,238.44199438137184,250.42603766846455,437.8747268041042,245.57684010152326
0.024487907999999996,0.281758477,451.3506447103982,252.337982347046,438.97099376430305,468.91567258883276
0.027946511,0.044505039,121.8166913426885,252.232426462563,438.91032454321913,122.85729695431472
0.032550738999999995,0.08944772700000002,753.1445958652967,260.7352495300115,443.8512660553297,777.6807741116756
0.038996802000000004,0.009138411000000003,175.11718541272148,252.4280106361034,439.022751785306,184.6674492385788
0.044999029999999995,0.697516883,871.2807826603812,252.71222645386783,439.1862309211352,871.5354060913712
0.05667722599999999,0.022595646000000004,317.4991067088149,252.27687625328298,438.9358703997156,332.64549492385817
0.06057878499999999,0.247940945,694.9140454493499,251.29861661189364,438.3743500052132,690.5760786802034
0.07649189799999999,0.03288854200000001,412.934521813665,251.79611599662485,438.6597315259602,407.16192893401046
0.09780320499999999,0.374305006,1651.1132498323404,252.95970603452162,439.3286798155947,1624.1032994923864
0.100503468,0.005755339999999999,372.3085452531932,281.8517469628906,456.5758242586602,360.88807106599
0.130485518,0.158520005,443.9557605575883,254.05464209965834,439.96004046257104,418.374555837564
0.155752887,0.059406930000000004,545.0937664933272,253.92184521085318,439.8833703457385,523.6424492385789
0.165523384,0.013698929,-154.7265981472683,251.20108369983117,438.31844643296876,-196.55044416243646
0.201656673,0.994454588,4648.521268061112,252.3410138873481,438.972736421223,4639.342956852793
0.246808359,0.12168402199999999,1303.0974638785447,257.15711794523344,441.7588248596064,1257.741814720813
0.274264573,0.011436917999999999,2784.3635887202113,259.65273284366947,443.21622003783625,2775.017005076143
0.32129454,0.354125558,8221.396076200732,295.48296352468344,465.11424162755014,8231.405139593911
0.38176695,0.021326633999999997,4682.125340212971,387.6369641425372,528.4727921105157,4664.982994923857
0.47128184100000003,0.189110945,7968.174664153568,378.4490305459663,521.7707779788203,8193.042703045687
0.503393773,0.644705971,9433.535672272901,295.78368924179847,465.3053479737047,9609.534961928935
0.50601268,1.0,8539.48128924841,454.89830319071126,579.6149948692063,7930.480203045687
0.519451623,0.401859793,10479.15762118318,266.4321843761177,447.2216283934301,9729.59168781726
0.524679958,0.490325221,9117.503325436815,417.1482718594053,550.4850195479711,8584.701015228427
0.551928728,0.776610726,9611.310489299127,329.05274168754494,487.13117621799967,9509.881027918786
0.569476786,0.396331796,11000.761306906581,204.8381642245882,413.4969764754527,11227.402347715735
0.595064481,0.037487833,7000.294982479875,317.6419421505587,479.4971109867301,6975.503743654824
0.640553541,0.364746978,11466.031473019486,206.15173954591245,414.14926747399596,11602.945050761427
0.680402845,0.415160119,11489.15255188616,215.86305110477852,419.06793347106134,11655.901395939083
0.691594231,0.556344097,10182.109808601277,291.8702560331662,462.8275298513558,9994.111992385788
0.69569229,1.0,9917.866925800226,275.99434272251665,452.98339179960635,10172.292449238581
0.701280398,0.256047713,10735.221385399163,386.7555249421304,527.8265928358522,10486.794416243654
0.762589268,0.007805179999999997,8207.300166165507,342.8374491788609,496.54666708267183,8296.685088832488
0.772481323,0.298493229,11678.578787633654,224.5077846517538,423.5856718547972,11757.107296954317
0.791721415,0.353477687,11715.427599714885,191.36041711107504,406.98880238695307,11426.402982233503
0.849717465,0.233233745,9890.686585870095,278.0264906096573,454.2243999524503,9684.582868020305
0.99532202,0.07911293000000001,9970.384971978765,255.78914479870954,440.963901729265,10034.767956852795
1.0,0.004999999999999999,2782.4498880152864,512.995269119539,626.2469338611327,2636.6415609137066
1.0,0.013888068999999998,10044.225917855805,652.0116567047131,744.4059890343887,10475.589022842641
1.0,0.017217134,9195.814450499345,479.3772357463571,599.0188729775216,9051.402728426392
1.0,0.022421329,9698.007100986708,273.97100195925066,451.75345703823615,9633.082994923858
1.0,0.026667824000000003,10517.840257587395,257.78182201061804,442.12277004306804,10646.155964467009
1.0,0.034851690000000005,9502.666419287805,246.63859615401816,435.7197185625945,9464.416814720815
1.0,0.04829413199999999,9484.909245189756,399.5336522820188,537.2599141358405,9511.359137055837
1.0,0.116068666,7902.169043036171,245.60107172906177,435.1332697759451,7829.477220812185
1.0,0.13952912999999997,8848.520220875815,250.9765416319148,438.18979960852346,8836.502982233505
1.0,0.165955201,9197.313996288958,456.5778385710038,580.9340743196351,10886.989847715737
1.0,0.203109757,7835.243206833869,344.7849216760122,497.8932799773216,6639.538324873097
1.0,0.21823379,8702.034161715523,293.2904580457965,463.72445354127575,7837.400317258883
1.0,0.242619627,10903.418918235453,262.03484933916474,444.61594472043,11822.44149746193
1.0,0.289103736,11994.121142971766,240.89116234365088,432.49234458741216,11851.64257614213
1.0,0.351102762,12052.383521591079,226.78279921324668,424.79584985076946,12111.555583756344
1.0,0.440614497,12097.196975882107,245.96459608906443,435.33855625328925,12090.561357868022
1.0,0.5863101,11687.839154219964,249.0184091483819,437.0712117335488,11741.355139593907
1.0,0.77567741,11506.709047735778,270.8856593823117,449.8890046338446,11523.730139593914
1.0,1.0,10473.368738284105,297.5393739447006,466.42336463651355,10369.83032994924
