TMB,H2O2,mean,median,sd,count,var,sem_var_raw,sem_var_shrunk,sem_sd_raw,sem_sd_shrunk
0.005761175,0.041101055,440.2187182741122,439.99746192893457,42.34539789342199,4,1793.1327227522274,448.28318068805686,16110.34451728633,21.172698946710995,126.92653196745876
0.006732161,0.534053478,110.22176395939125,108.516751269036,17.53119179811166,4,307.3426858621775,110.14800411869608,15941.27692900165,10.495141929421253,126.25876971126263
0.007149868,0.009990078,151.17937817258934,154.22182741116796,14.677996345578421,4,215.4435767208135,110.14800411869608,15941.27692900165,10.495141929421253,126.25876971126263
0.008658956,0.195670288,224.30704314720833,225.3491116751271,39.107289954773805,4,1529.3801276067522,382.34503190168806,16077.375442893146,19.553644977386902,126.79659081731317
0.01051241,0.113992163,183.50336294416297,195.82741116751325,32.12052801214068,4,1031.7283197787142,257.93207994467855,16015.168966914642,16.06026400607034,126.55105280840077
0.012513638,0.018010453,840.4739213197976,842.9498730964473,50.18683363284543,4,2518.718270090905,629.6795675227263,16201.042710703665,25.093416816422714,127.28331670216511
0.015087255,0.741988309,634.7956852791881,641.7243654822336,32.98614726887972,4,1088.085911644221,272.02147791105523,16022.213665897829,16.49307363443986,126.57888317526675
0.016988231,0.006891297,818.7350888324879,809.3190355329953,118.7274217185965,4,14096.20066794546,3524.050166986365,17648.228010435483,59.36371085929825,132.84663341777045
0.021652001,0.054812731,1117.4411167512694,1110.408629441625,78.01541752834241,4,6086.405372121596,1521.601343030399,16647.0035984575,39.007708764171205,129.02326766307502
0.025609631,0.292556313,815.0768401015231,818.4833756345181,64.71430018842534,4,4187.9406488776285,1046.9851622194071,16409.695508052006,32.35715009421267,128.1003337546472
0.027868633,0.026792707,878.6030456852793,886.7521573604059,62.064935203144664,4,3852.0561817705457,963.0140454426364,16367.70994966362,31.032467601572332,127.9363511659748
0.031793511,0.074067132,803.7013959390863,787.6408629441628,127.61533002890363,4,16285.672458385992,4071.418114596498,17921.911984240553,63.807665014451814,133.8727454870503
0.038666198,0.385758744,509.52607868020345,514.2083756345182,75.64826626918808,4,5722.66018953398,1430.665047383495,16601.535450634048,37.82413313459404,128.84694583355108
0.049191724,0.013688631,1260.6671954314725,1233.5937817258887,208.84094203728804,4,43614.53907102191,10903.634767755477,21338.02031082004,104.42047101864402,146.0753925574737
0.052920166,0.178624656,827.7494923857871,827.1184010152288,72.72883812620378,4,5289.483895187553,1322.3709737968882,16547.388413840745,36.36441906310189,128.63665268437586
0.068854601,0.008284257,2270.018401015229,2262.6978426395945,86.33660467195811,4,7454.00930628198,1863.502326570495,16817.954090227548,43.16830233597906,129.68405488041907
0.075037108,0.050546249,1517.22785532995,1527.4036802030464,42.00777406305402,4,1764.6530817325943,441.16327043314857,16106.784562158877,21.00388703152701,126.91250750875139
0.085467777,0.954633334,366.20019035533016,350.45177664974665,88.8949820353234,4,7902.317831060469,1975.5794577651172,16873.99265582486,44.4474910176617,129.8999332402633
0.106683566,0.005456869,2190.2911802030458,2194.6387055837567,248.40836317921554,4,61706.714897377045,15426.678724344261,23599.542289114434,124.20418158960777,153.62142522810558
0.126001922,0.116571316,2002.8079314720821,2077.3250000000007,526.4880706082578,4,277189.6884928058,69297.42212320145,50534.91398854303,263.2440353041289,224.79971972523236
0.160758493,0.248495279,1626.7222715736045,1616.3989847715739,360.5390598260465,4,129988.41366024956,32497.10341506239,32134.754634473495,180.26952991302326,179.26169315967508
0.173097743,0.023223318,3363.5068527918793,3360.404441624367,317.95850962961606,4,101097.61384588665,25274.403461471662,28523.404657678133,158.97925481480803,168.88873454934208
0.207944097,0.493752191,1301.5117385786803,1344.0578680203043,112.5750135735191,4,12673.13368107801,3168.2834202695026,17470.344637077054,56.28750678675955,132.17543129143576
0.252895216,0.090502997,3054.364340101524,3202.6305837563464,457.03086365861685,4,208877.21033654123,52219.30258413531,41995.854219009954,228.51543182930843,204.9289003996507
0.276991652,0.011873097,7237.554441624366,7155.135532994924,287.605680128239,4,82717.02724202692,20679.25681050673,26225.831332195667,143.8028400641195,161.94391415609192
0.338093748,0.031163164,5775.970241116752,5988.453172588834,571.053927335787,4,326102.58792562626,81525.64698140656,56649.02641764558,285.5269636678935,238.01055946668748
0.41759762,0.717258447,1704.521510152285,1715.4639593908635,70.85359981993805,4,5020.232607443926,1255.0581518609815,16513.73200287279,35.42679990996903,128.50576641875955
0.489720549,0.018896879,6743.25932741117,6604.587944162438,444.1702566768851,4,197287.21691641002,49321.804229102505,40547.10504149355,222.08512833844256,201.36311738124624
0.526319088,0.159645514,3399.9662436548233,3343.9805837563463,820.8701288766235,4,673827.7684819245,168456.94212048114,100114.67398718288,410.43506443831177,316.40902956012945
0.695709702,0.00721263,5536.385152284265,5571.436421319797,358.21043018581236,4,128314.71229390475,32078.67807347619,31925.541963680396,179.10521509290618,178.67720045848154
0.774773418,0.339271601,2864.859010152285,2901.586548223351,98.59697169756738,4,9721.362827930903,2430.340706982726,17101.373280433665,49.29848584878369,130.7722190697767
0.852805389,0.065595681,7314.13413705584,7321.185025380713,1314.383694272585,4,1727604.495769648,431901.123942412,231836.7648981483,657.1918471362925,481.49430411807396
