HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
1.0,fixed_sem_shrunk,1.0,0.3990423750329476,12221.620263475264,335.13633325791244,491.26106898572806
1.0,fixed_sem_shrunk,1.0,0.31627050300500564,12010.467268797183,296.32769000433467,465.65134585303923
1.0,fixed_sem_shrunk,1.0,0.6734877306588287,11739.775628072366,439.94235256438276,567.9527705816087
1.0,fixed_sem_shrunk,1.0,0.010673578047771222,10282.709838610424,1209.1872972441167,1261.4099237947883
1.0,fixed_sem_shrunk,1.0,0.489110990777248,11782.82087046211,409.75546981905154,544.904231106782
1.0,fixed_sem_shrunk,1.0,0.2726904685581823,11914.62785076462,288.60818368289495,460.7773428893627
1.0,fixed_sem_shrunk,1.0,0.38113443415435905,12176.174288259555,321.71070735667433,482.2020896464193
1.0,fixed_sem_shrunk,1.0,0.4149626938895212,12210.792697084245,301.324437309665,468.84698202230965
1.0,fixed_sem_shrunk,1.0,0.6396611276844708,11746.585629338446,395.3615674514848,534.1646235470266
1.0,fixed_sem_shrunk,0.873467613570121,0.3942115080465867,12060.67300694671,294.1956582136936,464.2974922861744
1.0,fixed_sem_shrunk,1.0,0.303631738868396,12010.76346253381,271.71474922851735,450.38869988017876
1.0,fixed_sem_shrunk,1.0,0.46011155612158394,11968.01944294233,307.2637091242082,472.6860088644551
1.0,fixed_sem_shrunk,1.0,0.33416986390510056,12014.712370336867,266.9162732169912,447.51019311239065
1.0,fixed_sem_shrunk,1.0,0.3247387314128623,12009.572591542803,291.3190750212192,462.4801395764584
1.0,fixed_sem_shrunk,1.0,0.06273436624599638,10149.653902477829,871.7069089049679,942.8117580217674
1.0,fixed_sem_shrunk,1.0,0.5140579650151504,11676.99107172051,425.69079301277407,556.9862900352989
1.0,fixed_sem_shrunk,1.0,0.01009556394669288,10192.029301474908,1212.7997952513597,1264.8732819508766
1.0,fixed_sem_shrunk,1.0,0.28250578860799996,11976.793390132578,254.2194921663122,440.0552536088387
1.0,fixed_sem_shrunk,1.0,0.8644921488152892,11143.721763342113,417.7630555496981,550.9510383089062
1.0,fixed_sem_shrunk,1.0,0.3699961916490991,12128.75459597095,284.9888998796345,458.51908257568306
1.0,fixed_sem_shrunk,1.0,0.012224061612559744,10304.852896699507,976.3293166615102,1040.3076519011927
1.0,fixed_sem_shrunk,1.0,0.4270613121477909,12169.505255627942,263.9279809329605,445.73428760954755
1.0,fixed_sem_shrunk,1.0,0.3909042630460509,12207.545562890211,336.6701722971059,492.30872523854856
1.0,fixed_sem_shrunk,0.8380470200050374,0.31674476601726126,11794.904350523324,251.79015114170642,438.6563076525916
1.0,fixed_sem_shrunk,1.0,0.6992596042460496,11708.42723293935,421.9843179462314,554.1586781996541
1.0,fixed_sem_shrunk,1.0,0.2639213662967433,11787.286292848628,305.0240751190853,471.23323570573314
1.0,fixed_sem_shrunk,1.0,0.00927484637310065,9939.151169222301,1111.5902329944151,1168.1840275059492
1.0,fixed_sem_shrunk,0.8210503916737523,0.3752134500864734,11902.947562983238,246.7862534650284,435.8033167964041
1.0,fixed_sem_shrunk,1.0,0.011288554411920395,10324.621365986317,1147.9989632287193,1202.8809981064862
1.0,fixed_sem_shrunk,0.8644614562237256,0.4163914351078574,12009.316907553632,271.50638452625316,450.2630263190165
1.0,fixed_sem_shrunk,1.0,0.009710791296877718,10095.371716399559,1181.367504319207,1234.7672883150224
1.0,fixed_sem_shrunk,0.8747961739646775,0.4335516449500669,11908.674384633323,257.7893526137133,442.1271608399999
