tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,mgso4,feso4,peg20k,peg200k,model,acq,pred_mean,pred_sigma,active_count
2.0,0.001,1.197486173981228,0.08947797628879972,0.03327206665904541,0.35974233664749733,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.885324521046245,203299.7872183297,12353.055736351973,4
2.0,0.001,1.1918340195949224,0.08935100311820274,0.5756283139079523,0.35922392073844445,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.82424707830497,200140.29426793996,12806.596500448,4
2.0,0.001,0.0,0.09205222752240175,0.03027242708697142,0.3389954934890301,0.00393520113749143,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.79029877074029,198461.264779921,12148.83878676555,4
2.0,0.001,0.0,0.0872281026529494,0.03387317744770901,0.35812366656019967,0.0,0.045179480647666775,0.0,0.0,0.0,0.0,new_additive_set,10.746194916204054,196372.92311962796,12974.537343148824,4
2.0,0.001,0.0,0.08575120051187032,0.039082311679038716,0.3594264145504638,0.001,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.701442989948049,194341.3161653292,13159.885729149231,4
2.0,0.0017187904468039417,0.0,0.09478631543402906,0.03414471972023944,0.36323800885625546,0.0,0.0,0.00814012505631575,0.0,0.0,0.0,new_additive_set,10.679637163146287,193370.70399357105,11521.702498121253,4
2.0,0.001,0.0,0.09071946232717171,0.6365334673869871,0.35934952344743804,0.0,0.046169793269521066,0.0,0.0,0.0,0.0,new_additive_set,10.675804459449285,193219.04334385018,13415.082557436139,4
2.0,0.001,1.320200772629834,0.0,0.03331791351373118,0.35316049587830917,0.005947487961987004,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.660678793359445,192559.03242796438,12296.953920939457,4
2.0,0.001,0.0,0.08105789219223276,0.04297590774839039,0.3488902750409368,0.0,0.0,0.0,2.0,0.0,0.0,new_additive_set,10.659718490255173,192521.4767565417,12556.959139159671,4
2.0,0.001,1.1923435988476598,0.0,0.03345262517168255,0.3579417227772003,0.0,0.04588028565554753,0.0,0.0,0.0,0.0,new_additive_set,10.635881668328691,191519.40616727225,12938.275901731286,4
2.0,0.001,0.001,0.09883628417338122,0.6171888042256853,0.36976624942765796,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.624030196272612,190992.5604328597,14660.53655857493,4
0.001,0.001,1.0870843582367287,0.08379144816673166,0.033739391652388116,0.3506653142401954,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.61035501001787,190400.0105991863,14844.587796175247,4
2.0,0.004266323752486296,2.0,0.11026589124580945,0.004744906613999046,0.40510215528267657,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.605664618264461,190273.111722718,12008.218473383246,4
2.0,0.02564668042451925,1.2266316522098395,0.08410178646724188,0.034075873171567746,0.35469876709878845,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.587059351722,189514.683706566,10168.899209157606,4
0.06674284271135664,0.001,0.0,0.07004219399972456,0.09999875604226562,0.3505199887651884,0.0,0.0,0.009718347237646693,0.0,0.0,0.0,new_additive_set,10.532067540114861,187404.4024665299,13187.754599191912,4
0.0018823279415879134,0.001,0.0,0.08754945349498935,0.03719695918779491,0.36338033361090843,0.003631829134355907,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.531241673126688,187278.81285988638,14335.973232528291,4
2.0,0.001,2.0,0.0,0.03500644526938211,0.3605506729750189,0.0,0.0,0.0,0.002044986365197225,0.0,0.0,new_additive_set,10.527183280782484,187072.0493544379,14161.127570946584,4
0.34590037137904694,0.001,0.0,0.08737099103121279,0.03615221200982898,0.3562955452970127,0.0,0.0,0.0,0.0,0.001,0.0,new_additive_set,10.492379314068822,185811.12208689353,14271.672740682088,4
2.0,0.001,0.0,0.0,0.6744571673224128,0.36196293936705143,0.0,0.046816994012186725,0.0,2.0,0.0,0.0,new_additive_set,10.41033942850827,182892.87820472545,13567.983875658625,4
0.001,0.001,0.0,0.10504791547342393,0.6394946911404226,0.3730198639988854,0.0030210286734797254,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.403295378137182,182566.68418210914,15148.150937193632,4
2.0,0.001,0.001,0.0,0.034977547261606845,0.35146427316674644,0.0,0.04678600564827132,0.0,0.0,0.0,0.0,new_additive_set,10.398812124686131,182385.85899723525,14742.16552835639,4
2.0,0.012683218852188339,1.300601998749522,0.08886113506134981,0.001,0.3582329033325915,0.0,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.367337888952099,181558.44827227935,12491.774824329226,4
2.0,0.001,0.0,0.09285583778707485,0.0019356757528792485,0.3641701962576182,0.0,0.0,0.0,2.0,0.0,0.0,new_additive_set,10.363877418230706,181311.58346103824,14410.669736644884,4
