model,n_seeds,n_params_mean,n_params_std,n_params_min,n_params_max,mll_mean,mll_std,mll_min,mll_max,fit_seconds_mean,fit_seconds_std,fit_seconds_min,fit_seconds_max,train_rmse_mean,train_rmse_std,train_rmse_min,train_rmse_max,train_mae_mean,train_mae_std,train_mae_min,train_mae_max,train_r2_mean,train_r2_std,train_r2_min,train_r2_max,train_z_std_mean,train_z_std_std,train_z_std_min,train_z_std_max,noise_standardized_mean,noise_standardized_std,noise_standardized_min,noise_standardized_max,eig_min_mean,eig_min_std,eig_min_min,eig_min_max,eig_max_mean,eig_max_std,eig_max_min,eig_max_max,condition_number_mean,condition_number_std,condition_number_min,condition_number_max,loo_rmse_model_space_mean,loo_rmse_model_space_std,loo_rmse_model_space_min,loo_rmse_model_space_max,loo_mae_model_space_mean,loo_mae_model_space_std,loo_mae_model_space_min,loo_mae_model_space_max,loo_z_mean_mean,loo_z_mean_std,loo_z_mean_min,loo_z_mean_max,loo_z_std_mean,loo_z_std_std,loo_z_std_min,loo_z_std_max,loo_frac_abs_z_gt_2_mean,loo_frac_abs_z_gt_2_std,loo_frac_abs_z_gt_2_min,loo_frac_abs_z_gt_2_max,loo_frac_abs_z_gt_3_mean,loo_frac_abs_z_gt_3_std,loo_frac_abs_z_gt_3_min,loo_frac_abs_z_gt_3_max,loo_cholesky_jitter_mean,loo_cholesky_jitter_std,loo_cholesky_jitter_min,loo_cholesky_jitter_max,kernel_diag_min_mean,kernel_diag_min_std,kernel_diag_min_min,kernel_diag_min_max,kernel_diag_max_mean,kernel_diag_max_std,kernel_diag_max_min,kernel_diag_max_max
baseline_kernel,3,27.0,0.0,27.0,27.0,-0.31315359331501474,0.0,-0.31315359331501474,-0.31315359331501474,4.805567900339763,0.5416963186359806,4.4883341789245605,5.431043386459351,6474.495489375866,0.0,6474.495489375866,6474.495489375866,4637.234641311236,0.0,4637.234641311236,4637.234641311236,0.9391138464706786,0.0,0.9391138464706786,0.9391138464706786,0.8727711368068505,0.0,0.8727711368068505,0.8727711368068505,0.07255091286728703,0.0,0.07255091286728703,0.07255091286728703,0.07255091286728543,0.0,0.07255091286728543,0.07255091286728543,285.7102822415953,0.0,285.7102822415953,285.7102822415953,3938.06598635408,5.569494857771083e-13,3938.0659863540795,3938.0659863540795,0.2899850504700003,0.0,0.2899850504700003,0.2899850504700003,0.21161512403827118,0.0,0.21161512403827118,0.21161512403827118,0.0009586801714218373,1.3278710503032405e-19,0.0009586801714218374,0.0009586801714218374,0.9800010150916991,0.0,0.9800010150916991,0.9800010150916991,0.04708520179372197,0.0,0.04708520179372197,0.04708520179372197,0.017937219730941704,0.0,0.017937219730941704,0.017937219730941704,0.0,0.0,0.0,0.0,0.6770398235878036,1.3597399555105182e-16,0.6770398235878037,0.6770398235878037,0.9703864660907029,0.0,0.9703864660907029,0.9703864660907029
per_add_alpha,3,49.0,0.0,49.0,49.0,-0.10822421479685758,0.0,-0.10822421479685758,-0.10822421479685758,5.975247224171956,0.9409693590898235,4.907327175140381,6.682652950286865,1760.7646778807914,0.0,1760.7646778807914,1760.7646778807914,1251.1037465027152,0.0,1251.1037465027152,1251.1037465027152,0.9954969236765884,0.0,0.9954969236765884,0.9954969236765884,0.5044600514202328,0.0,0.5044600514202328,0.5044600514202328,0.012760857987819141,2.1245936804851847e-18,0.012760857987819143,0.012760857987819143,0.012760857987818541,2.1245936804851847e-18,0.01276085798781854,0.01276085798781854,156.73066691195137,0.0,156.73066691195137,156.73066691195137,12282.141769900254,2.227797943108433e-12,12282.141769900252,12282.141769900252,0.27097068732222745,0.0,0.27097068732222745,0.27097068732222745,0.1946677798635856,0.0,0.1946677798635856,0.1946677798635856,0.0057980192365639895,1.0622968402425924e-18,0.00579801923656399,0.00579801923656399,1.0041040004039272,0.0,1.0041040004039272,1.0041040004039272,0.06278026905829596,0.0,0.06278026905829596,0.06278026905829596,0.00672645739910314,1.0622968402425924e-18,0.006726457399103139,0.006726457399103139,0.0,0.0,0.0,0.0,0.6421342432928105,0.0,0.6421342432928105,0.6421342432928105,1.3173971825679844,0.0,1.3173971825679844,1.3173971825679844
add_composition,3,28.0,0.0,28.0,28.0,-0.3102162070374225,0.0,-0.3102162070374225,-0.3102162070374225,5.680216948191325,0.5179522380251592,5.12500786781311,6.150387525558472,6480.987325775192,0.0,6480.987325775192,6480.987325775192,4644.959984192363,0.0,4644.959984192363,4644.959984192363,0.9389916868030586,0.0,0.9389916868030586,0.9389916868030586,0.8734247421582909,0.0,0.8734247421582909,0.8734247421582909,0.07257286185105082,0.0,0.07257286185105082,0.07257286185105082,0.07257286185104925,0.0,0.07257286185104925,0.07257286185104925,456.1102748720061,6.961868572213853e-14,456.110274872006,456.110274872006,6284.859977110184,1.1138989715542165e-12,6284.859977110185,6284.859977110185,0.2912098044999895,0.0,0.2912098044999895,0.2912098044999895,0.2120409671402107,0.0,0.2120409671402107,0.2120409671402107,0.0009634009651205972,0.0,0.0009634009651205972,0.0009634009651205972,0.9814940520495302,0.0,0.9814940520495302,0.9814940520495302,0.04708520179372197,0.0,0.04708520179372197,0.04708520179372197,0.017937219730941704,0.0,0.017937219730941704,0.017937219730941704,0.0,0.0,0.0,0.0,1.0876294976480663,0.0,1.0876294976480663,1.0876294976480663,1.368325938307591,2.7194799110210365e-16,1.3683259383075908,1.3683259383075908
baseline_set,3,28.0,0.0,28.0,28.0,-0.15097008582353463,0.0,-0.15097008582353463,-0.15097008582353463,5.960239410400391,0.7022175763661931,5.189073324203491,6.562817096710205,1696.5723428669824,0.0,1696.5723428669824,1696.5723428669824,1191.3734372186848,0.0,1191.3734372186848,1191.3734372186848,0.9958192765629784,0.0,0.9958192765629784,0.9958192765629784,0.5009468124911791,0.0,0.5009468124911791,0.5009468124911791,0.012063923363090404,0.0,0.012063923363090404,0.012063923363090404,0.012063923363089963,0.0,0.012063923363089963,0.012063923363089963,196.05188358573477,3.4809342861069267e-14,196.05188358573474,196.05188358573474,16251.08828074646,2.227797943108433e-12,16251.088280746462,16251.088280746462,0.2725036952307539,0.0,0.2725036952307539,0.2725036952307539,0.1952080131006061,0.0,0.1952080131006061,0.1952080131006061,0.010356354135242728,0.0,0.010356354135242728,0.010356354135242728,1.0023022458217896,0.0,1.0023022458217896,1.0023022458217896,0.06053811659192825,0.0,0.06053811659192825,0.06053811659192825,0.004484304932735426,0.0,0.004484304932735426,0.004484304932735426,0.0,0.0,0.0,0.0,0.7431672893635887,0.0,0.7431672893635887,0.7431672893635887,0.9736309646106793,0.0,0.9736309646106793,0.9736309646106793
